# Histogrammed data for fix fave
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
0 250 330866844.24466354 0 10.033790919939076 99.99710278234936
1 10.18 6.9983e-22 2.11514e-30
2 10.54 7.16611e-22 2.16586e-30
3 10.9 5.96365e-22 1.80243e-30
4 11.26 2.07953e-21 6.2851e-30
5 11.62 9.50277e-22 2.87208e-30
6 11.98 7.59103e-22 2.29429e-30
7 12.34 3.01244e-22 9.1047e-31
8 12.7 8.19151e-22 2.47577e-30
9 13.06 9.95393e-22 3.00844e-30
10 13.42 1.55728e-21 4.70667e-30
11 13.78 4.40086e-22 1.3301e-30
12 14.14 1.77309e-21 5.35894e-30
13 14.5 9.15047e-22 2.7656e-30
14 14.86 8.75614e-22 2.64642e-30
15 15.22 1.00884e-21 3.04908e-30
16 15.58 1.05232e-21 3.1805e-30
17 15.94 9.55559e-22 2.88805e-30
18 16.3 7.05692e-22 2.13286e-30
19 16.66 1.86064e-22 5.62353e-31
20 17.02 6.34917e-22 1.91895e-30
21 17.38 1.5187e-21 4.59005e-30
22 17.74 1.35706e-21 4.10153e-30
23 18.1 5.22114e-22 1.57802e-30
24 18.46 5.11104e-22 1.54474e-30
25 18.82 1.20495e-21 3.64179e-30
26 19.18 5.6152e-22 1.69712e-30
27 19.54 6.90536e-22 2.08705e-30
28 19.9 8.79268e-22 2.65747e-30
29 20.26 4.38757e-22 1.32608e-30
30 20.62 8.69117e-22 2.62679e-30
31 20.98 6.79191e-22 2.05276e-30
32 21.34 3.82892e-22 1.15724e-30
33 21.7 4.38601e-22 1.32561e-30
34 22.06 1.99216e-21 6.02104e-30
35 22.42 6.95796e-22 2.10295e-30
36 22.78 9.31384e-22 2.81498e-30
37 23.14 2.65664e-22 8.02932e-31
38 23.5 1.1243e-21 3.39806e-30
39 23.86 2.86889e-22 8.67083e-31
40 24.22 5.44835e-22 1.64669e-30
41 24.58 5.29382e-22 1.59999e-30
42 24.94 4.4157e-22 1.33458e-30
43 25.3 3.23786e-22 9.78598e-31
44 25.66 4.48124e-22 1.35439e-30
45 26.02 9.75052e-22 2.94696e-30
46 26.38 4.62297e-22 1.39723e-30
47 26.74 1.39204e-21 4.20725e-30
48 27.1 4.3888e-22 1.32645e-30
49 27.46 1.06906e+07 0.032311
50 27.82 3.20803e-22 9.69584e-31
51 28.18 9.4926e-22 2.86901e-30
52 28.54 1.30786e-21 3.95284e-30
53 28.9 8.47037e-22 2.56005e-30
54 29.26 7.28909e-22 2.20303e-30
55 29.62 5.7168e-22 1.72783e-30
56 29.98 1.20961e-21 3.65588e-30
57 30.34 4.9998e-22 1.51112e-30
58 30.7 4.30794e-22 1.30202e-30
59 31.06 4.69295e-22 1.41838e-30
60 31.42 4.06528e-22 1.22868e-30
61 31.78 1.31338e+08 0.396951
62 32.14 3.47913e-22 1.05152e-30
63 32.5 1.00562e-21 3.03936e-30
64 32.86 7.41034e-22 2.23968e-30
65 33.22 9.98008e-22 3.01634e-30
66 33.58 4.61541e-22 1.39494e-30
67 33.94 7.94174e-22 2.40028e-30
68 34.3 9.78507e-22 2.9574e-30
69 34.66 7.71392e-22 2.33143e-30
70 35.02 1.8758e-21 5.66936e-30
71 35.38 2.41771e-22 7.30721e-31
72 35.74 8.16149e-22 2.4667e-30
73 36.1 2.80947e-22 8.49124e-31
74 36.46 1.47066e-21 4.44488e-30
75 36.82 3.89785e-22 1.17807e-30
76 37.18 1.32069e-21 3.9916e-30
77 37.54 4.86551e-22 1.47054e-30
78 37.9 6.82506e-22 2.06278e-30
79 38.26 8.1688e-22 2.46891e-30
80 38.62 3.99263e-22 1.20672e-30
81 38.98 6.45566e-22 1.95113e-30
82 39.34 6.8812e-22 2.07975e-30
83 39.7 3.20228e-22 9.67845e-31
84 40.06 5.69348e-22 1.72078e-30
85 40.42 4.536e-22 1.37094e-30
86 40.78 1.0189e-21 3.07949e-30
87 41.14 4.73382e-22 1.43073e-30
88 41.5 4.9687e-22 1.50172e-30
89 41.86 8.50384e-22 2.57017e-30
90 42.22 5.28368e-22 1.59692e-30
91 42.58 3.38559e-22 1.02325e-30
92 42.94 6.23268e-22 1.88374e-30
93 43.3 1.36265e-21 4.11841e-30
94 43.66 5.9648e-22 1.80278e-30
95 44.02 4.20156e-22 1.26986e-30
96 44.38 1.03526e-21 3.12893e-30
97 44.74 4.97261e-22 1.5029e-30
98 45.1 5.34035e-22 1.61405e-30
99 45.46 8.64777e+07 0.261367
100 45.82 7.17777e-22 2.16938e-30
101 46.18 5.04357e-22 1.52435e-30
102 46.54 1.76134e-21 5.32342e-30
103 46.9 7.38171e-22 2.23102e-30
104 47.26 7.88074e-22 2.38185e-30
105 47.62 4.51852e-22 1.36566e-30
106 47.98 7.24546e-22 2.18984e-30
107 48.34 6.79778e-22 2.05454e-30
108 48.7 4.55555e-22 1.37685e-30
109 49.06 7.23064e-22 2.18536e-30
110 49.42 4.91235e-22 1.48469e-30
111 49.78 7.65954e-22 2.31499e-30
112 50.14 9.39479e-22 2.83945e-30
113 50.5 6.5883e-22 1.99123e-30
114 50.86 5.52842e-22 1.67089e-30
115 51.22 4.27576e-22 1.29229e-30
116 51.58 5.77995e-22 1.74691e-30
117 51.94 6.7329e-22 2.03493e-30
118 52.3 5.86371e-22 1.77223e-30
119 52.66 1.05601e-21 3.19163e-30
120 53.02 5.07947e-22 1.5352e-30
121 53.38 6.89992e-22 2.08541e-30
122 53.74 2.60645e+06 0.00787764
123 54.1 4.89589e-22 1.47972e-30
124 54.46 1.06493e-21 3.21859e-30
125 54.82 5.05468e-22 1.52771e-30
126 55.18 5.72171e-22 1.72931e-30
127 55.54 1.07966e-21 3.26314e-30
128 55.9 6.2272e-22 1.88209e-30
129 56.26 5.25719e-22 1.58891e-30
130 56.62 2.7882e+07 0.0842695
131 56.98 7.35955e-22 2.22432e-30
132 57.34 1.08986e-21 3.29394e-30
133 57.7 5.53329e-22 1.67236e-30
134 58.06 5.62971e-22 1.7015e-30
135 58.42 8.02896e-22 2.42665e-30
136 58.78 7.61548e-22 2.30168e-30
137 59.14 5.15532e-22 1.55813e-30
138 59.5 6.25876e-22 1.89163e-30
139 59.86 6.43082e-22 1.94363e-30
140 60.22 7.39143e-22 2.23396e-30
141 60.58 1.23136e-21 3.7216e-30
142 60.94 7.30377e-22 2.20746e-30
143 61.3 4.41852e-22 1.33544e-30
144 61.66 6.48512e-22 1.96004e-30
145 62.02 9.2336e-22 2.79073e-30
146 62.38 6.59028e-22 1.99182e-30
147 62.74 7.38813e-22 2.23296e-30
148 63.1 5.15186e-22 1.55708e-30
149 63.46 8.14587e-22 2.46198e-30
150 63.82 5.47606e-22 1.65507e-30
151 64.18 5.52795e-22 1.67075e-30
152 64.54 8.74426e-22 2.64283e-30
153 64.9 8.97278e-22 2.7119e-30
154 65.26 7.46345e-22 2.25573e-30
155 65.62 7.60357e-22 2.29807e-30
156 65.98 8.50155e-22 2.56948e-30
157 66.34 1.22338e+07 0.0369751
158 66.7 9.36821e-22 2.83141e-30
159 67.06 6.86281e-22 2.07419e-30
160 67.42 6.74444e-22 2.03842e-30
161 67.78 7.34843e-22 2.22096e-30
162 68.14 8.65237e-22 2.61506e-30
163 68.5 1.06207e-21 3.20998e-30
164 68.86 7.49252e-22 2.26451e-30
165 69.22 5.76592e-22 1.74267e-30
166 69.58 7.57064e-22 2.28812e-30
167 69.94 1.22908e-21 3.71472e-30
168 70.3 5.18524e-22 1.56717e-30
169 70.66 5.36716e-22 1.62215e-30
170 71.02 7.25091e-22 2.19149e-30
171 71.38 8.19829e-22 2.47782e-30
172 71.74 7.323e-22 2.21328e-30
173 72.1 9.97957e-22 3.01619e-30
174 72.46 7.40845e-22 2.2391e-30
175 72.82 7.53736e-22 2.27806e-30
176 73.18 1.31095e+06 0.00396217
177 73.54 1.17861e-21 3.56217e-30
178 73.9 7.82341e-22 2.36452e-30
179 74.26 1.38162e-21 4.17576e-30
180 74.62 6.49644e-22 1.96346e-30
181 74.98 6.16135e-22 1.86219e-30
182 75.34 3.26178e+07 0.0985829
183 75.7 8.37278e-22 2.53056e-30
184 76.06 6.02783e-22 1.82183e-30
185 76.42 6.7846e-22 2.05055e-30
186 76.78 7.53387e-22 2.27701e-30
187 77.14 9.22016e-22 2.78667e-30
188 77.5 9.09419e-22 2.74859e-30
189 77.86 7.88447e-22 2.38297e-30
190 78.22 6.95182e-22 2.10109e-30
191 78.58 8.72316e-22 2.63646e-30
192 78.94 6.25262e-22 1.88977e-30
193 79.3 8.58507e-22 2.59472e-30
194 79.66 7.3251e-22 2.21391e-30
195 80.02 8.18857e-22 2.47488e-30
196 80.38 6.11309e-22 1.8476e-30
197 80.74 1.2233e-21 3.69726e-30
198 81.1 5.83059e-22 1.76222e-30
199 81.46 5.71825e-22 1.72826e-30
200 81.82 6.22519e-22 1.88148e-30
201 82.18 8.24354e-22 2.4915e-30
202 82.54 8.88117e-22 2.68421e-30
203 82.9 5.85134e-22 1.76849e-30
204 83.26 6.60888e-22 1.99744e-30
205 83.62 8.50456e-22 2.57039e-30
206 83.98 2.4193e+07 0.0731201
207 84.34 5.86071e-22 1.77132e-30
208 84.7 7.60249e-22 2.29775e-30
209 85.06 7.48752e-22 2.263e-30
210 85.42 5.00938e-22 1.51402e-30
211 85.78 9.06975e-22 2.74121e-30
212 86.14 4.20967e-22 1.27232e-30
213 86.5 6.11172e-22 1.84719e-30
214 86.86 8.47886e-22 2.56262e-30
215 87.22 3.80147e-22 1.14894e-30
216 87.58 7.95075e-22 2.40301e-30
217 87.94 1.14512e-21 3.46098e-30
218 88.3 9.72968e-22 2.94066e-30
219 88.66 7.61173e-22 2.30054e-30
220 89.02 6.22218e-22 1.88057e-30
221 89.38 9.90868e-22 2.99476e-30
222 89.74 5.16757e-22 1.56183e-30
223 90.1 5.62354e-22 1.69964e-30
224 90.46 1.51662e+06 0.00458378
225 90.82 7.09332e-22 2.14386e-30
226 91.18 6.34812e-22 1.91863e-30
227 91.54 6.91245e-22 2.08919e-30
228 91.9 6.55108e-22 1.97998e-30
229 92.26 8.86437e-22 2.67914e-30
230 92.62 7.62487e-22 2.30451e-30
231 92.98 6.35669e-22 1.92122e-30
232 93.34 6.90245e-22 2.08617e-30
233 93.7 6.5052e-22 1.96611e-30
234 94.06 5.78756e-22 1.74921e-30
235 94.42 7.91484e-22 2.39215e-30
236 94.78 9.51171e-22 2.87478e-30
237 95.14 5.68851e-22 1.71927e-30
238 95.5 5.00818e-22 1.51365e-30
239 95.86 1.11947e-21 3.38346e-30
240 96.22 6.00228e-22 1.81411e-30
241 96.58 5.51751e-22 1.66759e-30
242 96.94 9.80062e-22 2.9621e-30
243 97.3 1.03381e-21 3.12455e-30
244 97.66 8.8364e-22 2.67068e-30
245 98.02 4.41977e-22 1.33582e-30
246 98.38 5.02537e-22 1.51885e-30
247 98.74 6.55923e-22 1.98244e-30
248 99.1 7.17784e-22 2.16941e-30
249 99.46 7.92291e-22 2.39459e-30
250 99.82 8.44919e-22 2.55365e-30
