type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
ca                  0.5                 0.5                 0.5                 0.5                 
cb                  0.5                 0.5                 0.5                 0.5                 
0.005000            42.690828           10.773775           10.773775           42.690828           
0.015000            41.793378           10.553457           10.553457           41.793378           
0.025000            40.031020           10.121479           10.121479           40.031020           
0.035000            37.467454           9.494754            9.494754            37.467454           
0.045000            34.194817           8.697670            8.697670            34.194817           
0.055000            30.329782           7.760963            7.760963            30.329782           
0.065000            26.008614           6.720307            6.720307            26.008614           
0.075000            21.381454           5.614691            5.614691            21.381454           
0.085000            16.606052           4.484655            4.484655            16.606052           
0.095000            11.841267           3.370484            3.370484            11.841267           
0.105000            7.240596            2.310437            2.310437            7.240596            
0.115000            2.946050            1.339110            1.339110            2.946050            
0.125000            -0.917371           0.485997            0.485997            -0.917371           
0.135000            -4.246362           -0.225674           -0.225674           -4.246362           
0.145000            -6.962950           -0.779786           -0.779786           -6.962950           
0.155000            -9.016942           -1.167809           -1.167809           -9.016942           
0.165000            -10.387099          -1.388907           -1.388907           -10.387099          
0.175000            -11.081001          -1.449673           -1.449673           -11.081001          
0.185000            -11.133630          -1.363511           -1.363511           -11.133630          
0.195000            -10.604788          -1.149702           -1.149702           -10.604788          
0.205000            -9.575456           -0.832221           -0.832221           -9.575456           
0.215000            -8.143330           -0.438359           -0.438359           -8.143330           
0.225000            -6.417725           0.002767            0.002767            -6.417725           
0.235000            -4.514124           0.461747            0.461747            -4.514124           
0.245000            -2.548627           0.910357            0.910357            -2.548627           
0.255000            -0.632562           1.322928            1.322928            -0.632562           
0.265000            1.132485            1.677527            1.677527            1.132485            
0.275000            2.659000            1.956891            1.956891            2.659000            
0.285000            3.877047            2.149093            2.149093            3.877047            
0.295000            4.736796            2.247885            2.247885            4.736796            
0.305000            5.209992            2.252732            2.252732            5.209992            
0.315000            5.290316            2.168546            2.168546            5.290316            
0.325000            4.992664            2.005130            2.005130            4.992664            
0.335000            4.351401            1.776382            1.776382            4.351401            
0.345000            3.417721            1.499316            1.499316            3.417721            
0.355000            2.256264            1.192943            1.192943            2.256264            
0.365000            0.941183            0.877103            0.877103            0.941183            
0.375000            -0.448125           0.571282            0.571282            -0.448125           
0.385000            -1.831389           0.293517            0.293517            -1.831389           
0.395000            -3.131737           0.059413            0.059413            -3.131737           
0.405000            -4.279619           -0.118656           -0.118656           -4.279619           
0.415000            -5.216234           -0.232130           -0.232130           -5.216234           
0.425000            -5.896262           -0.276605           -0.276605           -5.896262           
0.435000            -6.289813           -0.251925           -0.251925           -6.289813           
0.445000            -6.383496           -0.162027           -0.162027           -6.383496           
0.455000            -6.180589           -0.014547           -0.014547           -6.180589           
0.465000            -5.700323           0.179761            0.179761            -5.700323           
0.475000            -4.976353           0.407773            0.407773            -4.976353           
0.485000            -4.054500           0.654855            0.654855            -4.054500           
0.495000            -2.989931           0.905773            0.905773            -2.989931           
0.505000            -1.843915           1.145610            1.145610            -1.843915           
0.515000            -0.680353           1.360629            1.360629            -0.680353           
0.525000            0.437733            1.539036            1.539036            0.437733            
0.535000            1.451563            1.671602            1.671602            1.451563            
0.545000            2.309646            1.752110            1.752110            2.309646            
0.555000            2.970348            1.777607            1.777607            2.970348            
0.565000            3.403868            1.748458            1.748458            3.403868            
0.575000            3.593521            1.668196            1.668196            3.593521            
0.585000            3.536286            1.543193            1.543193            3.536286            
0.595000            3.242608            1.382175            1.382175            3.242608            
0.605000            2.735476            1.195608            1.195608            2.735476            
0.615000            2.048850            0.995011            0.995011            2.048850            
0.625000            1.225543            0.792230            0.792230            1.225543            
0.635000            0.314670            0.598717            0.598717            0.314670            
0.645000            -0.631170           0.424862            0.424862            -0.631170           
0.655000            -1.558843           0.279421            0.279421            -1.558843           
0.665000            -2.417569           0.169066            0.169066            -2.417569           
0.675000            -3.161628           0.098072            0.098072            -3.161628           
0.685000            -3.752718           0.068181            0.068181            -3.752718           
0.695000            -4.161856           0.078616            0.078616            -4.161856           
0.705000            -4.370727           0.126261            0.126261            -4.370727           
0.715000            -4.372425           0.205978            0.205978            -4.372425           
0.725000            -4.171549           0.311039            0.311039            -4.171549           
0.735000            -3.783677           0.433645            0.433645            -3.783677           
0.745000            -3.234250           0.565489            0.565489            -3.234250           
0.755000            -2.556947           0.698334            0.698334            -2.556947           
0.765000            -1.791641           0.824559            0.824559            -1.791641           
0.775000            -0.982073           0.937643            0.937643            -0.982073           
0.785000            -0.173357           1.032555            1.032555            -0.173357           
0.795000            0.590524            1.106033            1.106033            0.590524            
0.805000            1.269113            1.156721            1.156721            1.269113            
