type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
ca                  0.5                 0.5                 0.5                 0.5                 
cb                  0.5                 0.5                 0.5                 0.5                 
0.000500            300.634255          -251.292199         -251.292199         300.634255          
0.001500            300.141421          -250.878088         -250.878088         300.141421          
0.002500            299.157203          -250.051091         -250.051091         299.157203          
0.003500            297.684495          -248.813649         -248.813649         297.684495          
0.004500            295.727626          -247.169416         -247.169416         295.727626          
0.005500            293.292345          -245.123242         -245.123242         293.292345          
0.006500            290.385798          -242.681158         -242.681158         290.385798          
0.007500            287.016509          -239.850356         -239.850356         287.016509          
0.008500            283.194343          -236.639159         -236.639159         283.194343          
0.009500            278.930476          -233.056999         -233.056999         278.930476          
0.010500            274.237356          -229.114377         -229.114377         274.237356          
0.011500            269.128658          -224.822829         -224.822829         269.128658          
0.012500            263.619236          -220.194889         -220.194889         263.619236          
0.013500            257.725074          -215.244038         -215.244038         257.725074          
0.014500            251.463228          -209.984664         -209.984664         251.463228          
0.015500            244.851767          -204.432008         -204.432008         244.851767          
0.016500            237.909712          -198.602112         -198.602112         237.909712          
0.017500            230.656968          -192.511761         -192.511761         230.656968          
0.018500            223.114258          -186.178431         -186.178431         223.114258          
0.019500            215.303049          -179.620221         -179.620221         215.303049          
0.020500            207.245478          -172.855795         -172.855795         207.245478          
0.021500            198.964281          -165.904319         -165.904319         198.964281          
0.022500            190.482709          -158.785390         -158.785390         190.482709          
0.023500            181.824451          -151.518973         -151.518973         181.824451          
0.024500            173.013555          -144.125332         -144.125332         173.013555          
0.025500            164.074345          -136.624960         -136.624960         164.074345          
0.026500            155.031339          -129.038512         -129.038512         155.031339          
0.027500            145.909167          -121.386730         -121.386730         145.909167          
0.028500            136.732486          -113.690380         -113.690380         136.732486          
0.029500            127.525903          -105.970178         -105.970178         127.525903          
0.030500            118.313888          -98.246723          -98.246723          118.313888          
0.031500            109.120696          -90.540425          -90.540425          109.120696          
0.032500            99.970286           -82.871443          -82.871443          99.970286           
0.033500            90.886246           -75.259618          -75.259618          90.886246           
0.034500            81.891711           -67.724402          -67.724402          81.891711           
0.035500            73.009294           -60.284806          -60.284806          73.009294           
0.036500            64.261011           -52.959330          -52.959330          64.261011           
0.037500            55.668212           -45.765909          -45.765909          55.668212           
0.038500            47.251514           -38.721854          -38.721854          47.251514           
0.039500            39.030739           -31.843803          -31.843803          39.030739           
0.040500            31.024852           -25.147663          -25.147663          31.024852           
0.041500            23.251903           -18.648570          -18.648570          23.251903           
0.042500            15.728976           -12.360838          -12.360838          15.728976           
0.043500            8.472139            -6.297921           -6.297921           8.472139            
0.044500            1.496398            -0.472371           -0.472371           1.496398            
0.045500            -5.184345           5.104191            5.104191            -5.184345           
0.046500            -11.557328          10.421111           10.421111           -11.557328          
0.047500            -17.610961          15.468725           15.468725           -17.610961          
0.048500            -23.334855          20.238388           20.238388           -23.334855          
0.049500            -28.719847          24.722487           24.722487           -28.719847          
0.050500            -33.758015          28.914461           28.914461           -33.758015          
0.051500            -38.442696          32.808812           32.808812           -38.442696          
0.052500            -42.768493          36.401109           36.401109           -42.768493          
0.053500            -46.731281          39.687999           39.687999           -46.731281          
0.054500            -50.328207          42.667198           42.667198           -50.328207          
0.055500            -53.557686          45.337493           45.337493           -53.557686          
0.056500            -56.419389          47.698731           47.698731           -56.419389          
0.057500            -58.914233          49.751807           49.751807           -58.914233          
0.058500            -61.044359          51.498650           51.498650           -61.044359          
0.059500            -62.813112          52.942201           52.942201           -62.813112          
0.060500            -64.225015          54.086390           54.086390           -64.225015          
0.061500            -65.285735          54.936112           54.936112           -65.285735          
0.062500            -66.002048          55.497194           55.497194           -66.002048          
0.063500            -66.381805          55.776364           55.776364           -66.381805          
0.064500            -66.433884          55.781213           55.781213           -66.433884          
0.065500            -66.168146          55.520158           55.520158           -66.168146          
0.066500            -65.595388          55.002396           55.002396           -65.595388          
0.067500            -64.727289          54.237866           54.237866           -64.727289          
0.068500            -63.576355          53.237197           53.237197           -63.576355          
0.069500            -62.155862          52.011660           52.011660           -62.155862          
0.070500            -60.479796          50.573121           50.573121           -60.479796          
0.071500            -58.562793          48.933982           48.933982           -58.562793          
0.072500            -56.420071          47.107132           47.107132           -56.420071          
0.073500            -54.067370          45.105893           45.105893           -54.067370          
0.074500            -51.520884          42.943956           42.943956           -51.520884          
0.075500            -48.797190          40.635332           40.635332           -48.797190          
0.076500            -45.913186          38.194292           38.194292           -45.913186          
0.077500            -42.886015          35.635304           35.635304           -42.886015          
0.078500            -39.733005          32.972983           32.972983           -39.733005          
