bin                 q                   two_theta           Fx                  Icoh               
0                   0.000500            0.007024            36.383492           7332.473030        
1                   0.001500            0.021073            36.323245           7320.667894        
2                   0.002500            0.035121            36.202924           7297.091872        
3                   0.003500            0.049170            36.022879           7261.813345        
4                   0.004500            0.063219            35.783632           7214.934590        
5                   0.005500            0.077267            35.485876           7156.591425        
6                   0.006500            0.091316            35.130471           7086.952744        
7                   0.007500            0.105364            34.718445           7006.219927        
8                   0.008500            0.119413            34.250988           6914.626154        
9                   0.009500            0.133462            33.729447           6812.435594        
10                  0.010500            0.147510            33.155323           6699.942500        
11                  0.011500            0.161559            32.530266           6577.470194        
12                  0.012500            0.175607            31.856067           6445.369958        
13                  0.013500            0.189656            31.134655           6304.019826        
14                  0.014500            0.203705            30.368088           6153.823288        
15                  0.015500            0.217753            29.558547           5995.207910        
16                  0.016500            0.231802            28.708330           5828.623869        
17                  0.017500            0.245850            27.819839           5654.542423        
18                  0.018500            0.259899            26.895579           5473.454297        
19                  0.019500            0.273948            25.938144           5285.868023        
20                  0.020500            0.287996            24.950210           5092.308208        
21                  0.021500            0.302045            23.934527           4893.313764        
22                  0.022500            0.316094            22.893908           4689.436086        
23                  0.023500            0.330142            21.831220           4481.237196        
24                  0.024500            0.344191            20.749377           4269.287856        
25                  0.025500            0.358240            19.651324           4054.165662        
26                  0.026500            0.372288            18.540034           3836.453112        
27                  0.027500            0.386337            17.418494           3616.735679        
28                  0.028500            0.400386            16.289698           3395.599869        
29                  0.029500            0.414434            15.156634           3173.631289        
30                  0.030500            0.428483            14.022276           2951.412731        
31                  0.031500            0.442532            12.889573           2729.522271        
32                  0.032500            0.456580            11.761443           2508.531393        
33                  0.033500            0.470629            10.640759           2289.003148        
34                  0.034500            0.484678            9.530343            2071.490355        
35                  0.035500            0.498726            8.432956            1856.533840        
36                  0.036500            0.512775            7.351288            1644.660735        
37                  0.037500            0.526824            6.287951            1436.382834        
38                  0.038500            0.540873            5.245473            1232.195005        
39                  0.039500            0.554921            4.226285            1032.573685        
40                  0.040500            0.568970            3.232719            837.975437         
41                  0.041500            0.583019            2.266997            648.835593         
42                  0.042500            0.597068            1.331228            465.566982         
43                  0.043500            0.611116            0.427400            288.558742         
44                  0.044500            0.625165            -0.442627           118.175228         
45                  0.045500            0.639214            -1.277123           -45.244982         
46                  0.046500            0.653263            -2.074495           -201.389991        
47                  0.047500            0.667312            -2.833289           -349.975374        
48                  0.048500            0.681361            -3.552195           -490.744870        
49                  0.049500            0.695409            -4.230050           -623.470970        
50                  0.050500            0.709458            -4.865841           -747.955393        
51                  0.051500            0.723507            -5.458703           -864.029456        
52                  0.052500            0.737556            -6.007927           -971.554330        
53                  0.053500            0.751605            -6.512955           -1070.421194       
54                  0.054500            0.765654            -6.973383           -1160.551273       
55                  0.055500            0.779703            -7.388959           -1241.895765       
56                  0.056500            0.793752            -7.759583           -1314.435670       
57                  0.057500            0.807800            -8.085309           -1378.181501       
58                  0.058500            0.821849            -8.366334           -1433.172895       
59                  0.059500            0.835898            -8.603007           -1479.478126       
60                  0.060500            0.849947            -8.795816           -1517.193505       
61                  0.061500            0.863996            -8.945390           -1546.442698       
62                  0.062500            0.878045            -9.052494           -1567.375939       
63                  0.063500            0.892094            -9.118024           -1580.169159       
64                  0.064500            0.906143            -9.143003           -1585.023025       
65                  0.065500            0.920192            -9.128574           -1582.161898       
66                  0.066500            0.934241            -9.075996           -1571.832718       
67                  0.067500            0.948290            -8.986636           -1554.303809       
68                  0.068500            0.962340            -8.861966           -1529.863624       
69                  0.069500            0.976389            -8.703553           -1498.819420       
70                  0.070500            0.990438            -8.513053           -1461.495887       
71                  0.071500            1.004487            -8.292204           -1418.233717       
72                  0.072500            1.018536            -8.042819           -1369.388130       
73                  0.073500            1.032585            -7.766777           -1315.327368       
74                  0.074500            1.046634            -7.466015           -1256.431147       
75                  0.075500            1.060683            -7.142522           -1193.089091       
76                  0.076500            1.074733            -6.798330           -1125.699135       
77                  0.077500            1.088782            -6.435504           -1054.665929       
78                  0.078500            1.102831            -6.056136           -980.399222        
79                  0.079500            1.116880            -5.662337           -903.312248        
80                  0.080500            1.130930            -5.256225           -823.820124        
81                  0.081500            1.144979            -4.839924           -742.338250        
82                  0.082500            1.159028            -4.415546           -659.280728        
83                  0.083500            1.173078            -3.985194           -575.058813        
84                  0.084500            1.187127            -3.550946           -490.079383        
85                  0.085500            1.201176            -3.114851           -404.743448        
86                  0.086500            1.215226            -2.678920           -319.444702        
87                  0.087500            1.229275            -2.245122           -234.568116        
88                  0.088500            1.243324            -1.815371           -150.488586        
89                  0.089500            1.257374            -1.391526           -67.569633         
90                  0.090500            1.271423            -0.975381           13.837830          
91                  0.091500            1.285473            -0.568660           93.396675          
92                  0.092500            1.299522            -0.173011           170.784663         
93                  0.093500            1.313572            0.209999            245.695472         
94                  0.094500            1.327621            0.578891            317.839656         
95                  0.095500            1.341671            0.932273            386.945522         
96                  0.096500            1.355720            1.268850            452.759925         
97                  0.097500            1.369770            1.587425            515.048979         
98                  0.098500            1.383819            1.886902            573.598685         
99                  0.099500            1.397869            2.166289            628.215468         
100                 0.100500            1.411919            2.424703            678.726624         
101                 0.101500            1.425968            2.661365            724.980686         
102                 0.102500            1.440018            2.875610            766.847689         
103                 0.103500            1.454068            3.066881            804.219351         
104                 0.104500            1.468118            3.234733            837.009163         
105                 0.105500            1.482167            3.378834            865.152387         
106                 0.106500            1.496217            3.498960            888.605970         
107                 0.107500            1.510267            3.594998            907.348365         
108                 0.108500            1.524317            3.666945            921.379275         
109                 0.109500            1.538367            3.714903            930.719299         
