bin                 q                   S                  
0                   0.005000            7187.186272        
1                   0.015000            6075.540330        
2                   0.025000            4162.087052        
3                   0.035000            1963.659276        
4                   0.045000            35.574581          
5                   0.055000            -1202.323600       
6                   0.065000            -1584.541917       
7                   0.075000            -1225.291154       
8                   0.085000            -447.431185        
9                   0.095000            352.788643         
10                  0.105000            851.664796         
11                  0.115000            901.057891         
12                  0.125000            555.031385         
13                  0.135000            18.093996          
14                  0.145000            -457.056863        
15                  0.155000            -677.554360        
16                  0.165000            -581.352492        
17                  0.175000            -247.024216        
18                  0.185000            155.115185         
19                  0.195000            444.614323         
20                  0.205000            508.331686         
21                  0.215000            341.886514         
22                  0.225000            41.048110          
23                  0.235000            -248.828056        
24                  0.245000            -400.192440        
25                  0.255000            -357.292884        
26                  0.265000            -154.636767        
27                  0.275000            105.272779         
28                  0.285000            302.189836         
29                  0.295000            352.442601         
30                  0.305000            243.305685         
31                  0.315000            33.751329          
32                  0.325000            -176.491346        
33                  0.335000            -293.873606        
34                  0.345000            -272.227932        
35                  0.355000            -130.367574        
36                  0.365000            60.282454          
37                  0.375000            210.754249         
38                  0.385000            255.389556         
39                  0.395000            179.940970         
40                  0.405000            25.080822          
41                  0.415000            -134.921344        
42                  0.425000            -227.487200        
43                  0.435000            -214.425873        
44                  0.445000            -107.468718        
45                  0.455000            39.514734          
46                  0.465000            157.004216         
47                  0.475000            192.199887         
48                  0.485000            132.381493         
49                  0.495000            9.073110           
50                  0.505000            -118.074590        
51                  0.515000            -189.567529        
52                  0.525000            -173.227384        
53                  0.535000            -77.962135         
54                  0.545000            51.599815          
55                  0.555000            156.497356         
56                  0.565000            190.604098         
57                  0.575000            141.086775         
58                  0.585000            33.133934          
59                  0.595000            -82.651727         
60                  0.605000            -153.924399        
61                  0.615000            -150.277576        
62                  0.625000            -76.252188         
63                  0.635000            31.845755          
64                  0.645000            123.353989         
65                  0.655000            156.580755         
66                  0.665000            117.349901         
67                  0.675000            24.570161          
68                  0.685000            -79.255703         
69                  0.695000            -147.822073        
70                  0.705000            -151.877660        
71                  0.715000            -91.743036         
72                  0.725000            3.852450           
73                  0.735000            91.625253          
74                  0.745000            133.622789         
75                  0.755000            113.994428         
76                  0.765000            45.218154          
77                  0.775000            -38.646849         
78                  0.785000            -98.186454         
79                  0.795000            -106.690510        
80                  0.805000            -61.831720         
81                  0.815000            14.094352          
82                  0.825000            85.096861          
83                  0.835000            118.281196         
84                  0.845000            98.724973          
85                  0.855000            35.773137          
86                  0.865000            -41.827581         
87                  0.875000            -99.415117         
88                  0.885000            -112.168232        
89                  0.895000            -75.955177         
90                  0.905000            -8.535496          
91                  0.915000            59.124687          
92                  0.925000            97.195976          
93                  0.935000            90.338399          
94                  0.945000            44.068476          
95                  0.955000            -18.514079         
96                  0.965000            -67.857194         
97                  0.975000            -81.662583         
98                  0.985000            -54.875168         
99                  0.995000            -1.526347          
100                 1.005000            52.186981          
101                 1.015000            80.220781          
102                 1.025000            68.676742          
103                 1.035000            22.037067          
104                 1.045000            -39.057754         
105                 1.055000            -87.307159         
106                 1.065000            -101.094240        
107                 1.075000            -74.069850         
108                 1.085000            -17.744610         
109                 1.095000            43.908011          
110                 1.105000            85.236866          
111                 1.115000            90.148546          
112                 1.125000            58.790025          
113                 1.135000            6.848637           
114                 1.145000            -41.984786         
115                 1.155000            -66.810318         
116                 1.165000            -58.648444         
117                 1.175000            -23.882302         
118                 1.185000            19.333945          
119                 1.195000            49.846009          
120                 1.205000            53.319839          
121                 1.215000            28.629148          
122                 1.225000            -11.994811         
123                 1.235000            -48.956074         
124                 1.245000            -64.548257         
125                 1.255000            -51.170550         
126                 1.265000            -14.764211         
127                 1.275000            28.029190          
128                 1.285000            57.604914          
129                 1.295000            60.436314          
130                 1.305000            35.279360          
131                 1.315000            -6.268296          
