Nall = 64000               
rho = 0.04459
type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
ca                  0.50000             0.50000             0.50000             0.50000             
cb                  0.50000             0.50000             0.50000             0.50000             
0.00250             0.00000             0.00000             0.00000             0.00000             
0.00750             0.00000             0.00000             0.00000             0.00000             
0.01250             0.00000             0.00000             0.00000             0.00000             
0.01750             0.00000             0.00000             0.00000             0.00000             
0.02250             0.00000             0.00000             0.00000             0.00000             
0.02750             0.00000             0.00000             0.00000             0.00000             
0.03250             0.00000             0.00000             0.00000             0.00000             
0.03750             0.00000             0.00000             0.00000             0.00000             
0.04250             0.00000             0.00000             0.00000             0.00000             
0.04750             0.00000             0.00000             0.00000             0.00000             
0.05250             0.00000             0.00000             0.00000             0.00000             
0.05750             0.00000             0.00000             0.00000             0.00000             
0.06250             0.00000             0.00000             0.00000             0.00000             
0.06750             0.00000             0.00000             0.00000             0.00000             
0.07250             0.00000             0.00000             0.00000             0.00000             
0.07750             0.00000             0.00000             0.00000             0.00000             
0.08250             0.00000             0.00000             0.00000             0.00000             
0.08750             0.00000             0.00000             0.00000             0.00000             
0.09250             0.00000             0.00000             0.00000             0.00000             
0.09750             0.00000             0.00000             0.00000             0.00000             
0.10250             0.00000             0.00000             0.00000             0.00000             
0.10750             0.00000             0.00000             0.00000             0.00000             
0.11250             0.00000             0.00000             0.00000             0.00000             
0.11750             0.00000             0.00000             0.00000             0.00000             
0.12250             0.00000             0.00000             0.00000             0.00000             
0.12750             0.00000             0.00000             0.00000             0.00000             
0.13250             0.00000             0.00000             0.00000             0.00000             
0.13750             0.00000             0.00000             0.00000             0.00000             
0.14250             0.00000             0.00000             0.00000             0.00000             
0.14750             0.00000             0.00000             0.00000             0.00000             
0.15250             0.00000             0.00000             0.00000             0.00000             
0.15750             0.00000             0.00000             0.00000             0.00000             
0.16250             0.00000             0.00000             0.00000             0.00000             
0.16750             0.00000             0.00000             0.00000             0.00000             
0.17250             0.00000             0.00000             0.00000             0.00000             
0.17750             0.00000             0.00000             0.00000             0.00000             
0.18250             0.00000             0.00000             0.00000             0.00000             
0.18750             0.00000             0.00000             0.00000             0.00000             
0.19250             0.00000             0.00000             0.00000             0.00000             
0.19750             0.00000             0.00000             0.00000             0.00000             
0.20250             0.00000             0.00000             0.00000             0.00000             
0.20750             0.00000             0.00000             0.00000             0.00000             
0.21250             0.00000             0.00000             0.00000             0.00000             
0.21750             0.00000             0.00000             0.00000             0.00000             
0.22250             0.00000             0.00000             0.00000             0.00000             
0.22750             0.00000             0.00000             0.00000             0.00000             
0.23250             0.00000             0.00000             0.00000             0.00000             
0.23750             0.00000             0.00000             0.00000             0.00000             
0.24250             0.00000             0.00000             0.00000             0.00000             
0.24750             0.00000             0.00000             0.00000             0.00000             
0.25250             0.00000             0.00000             0.00000             0.00000             
0.25750             0.00000             0.00000             0.00000             0.00000             
0.26250             0.00000             0.00000             0.00000             0.00000             
0.26750             0.00000             0.00000             0.00000             0.00000             
0.27250             0.00000             0.00000             0.00000             0.00000             
0.27750             0.00000             0.00000             0.00000             0.00000             
0.28250             0.00000             0.00000             0.00000             0.00000             
0.28750             0.00000             0.00000             0.00000             0.00000             
0.29250             0.00000             0.00000             0.00000             0.00000             
0.29750             0.00000             0.00000             0.00000             0.00000             
0.30250             0.00000             0.00000             0.00000             0.00000             
0.30750             0.00000             0.00000             0.00000             0.00000             
0.31250             0.00000             0.00000             0.00000             0.00000             
0.31750             0.00000             0.00000             0.00000             0.00000             
0.32250             0.00000             0.00000             0.00000             0.00000             
0.32750             0.00000             0.00000             0.00000             0.00000             
0.33250             0.00000             0.00000             0.00000             0.00000             
0.33750             0.00000             0.00000             0.00000             0.00000             
0.34250             0.00000             0.00000             0.00000             0.00000             
0.34750             0.00000             0.00000             0.00000             0.00000             
0.35250             0.00000             0.00000             0.00000             0.00000             
0.35750             0.00000             0.00000             0.00000             0.00000             
0.36250             0.00000             0.00000             0.00000             0.00000             
0.36750             0.00000             0.00000             0.00000             0.00000             
0.37250             0.00000             0.00000             0.00000             0.00000             
0.37750             0.00000             0.00000             0.00000             0.00000             
0.38250             0.00000             0.00000             0.00000             0.00000             
0.38750             0.00000             0.00000             0.00000             0.00000             
0.39250             0.00000             0.00000             0.00000             0.00000             
0.39750             0.00000             0.00000             0.00000             0.00000             
0.40250             0.00000             0.00000             0.00000             0.00000             
0.40750             0.00000             0.00000             0.00000             0.00000             
0.41250             0.00000             0.00000             0.00000             0.00000             
0.41750             0.00000             0.00000             0.00000             0.00000             
0.42250             0.00000             0.00000             0.00000             0.00000             
0.42750             0.00000             0.00000             0.00000             0.00000             
0.43250             0.00000             0.00000             0.00000             0.00000             
0.43750             0.00000             0.00000             0.00000             0.00000             
0.44250             0.00000             0.00000             0.00000             0.00000             
0.44750             0.00000             0.00000             0.00000             0.00000             
0.45250             0.00000             0.00000             0.00000             0.00000             
0.45750             0.00000             0.00000             0.00000             0.00000             
0.46250             0.00000             0.00000             0.00000             0.00000             
0.46750             0.00000             0.00000             0.00000             0.00000             
0.47250             0.00000             0.00000             0.00000             0.00000             
0.47750             0.00000             0.00000             0.00000             0.00000             
0.48250             0.00000             0.00000             0.00000             0.00000             
0.48750             0.00000             0.00000             0.00000             0.00000             
0.49250             0.00000             0.00000             0.00000             0.00000             
0.49750             0.00000             0.00000             0.00000             0.00000             
0.50250             0.00000             0.00000             0.00000             0.00000             
0.50750             0.00000             0.00000             0.00000             0.00000             
0.51250             0.00000             0.00000             0.00000             0.00000             
0.51750             0.00000             0.00000             0.00000             0.00000             
0.52250             0.00000             0.00000             0.00000             0.00000             
0.52750             0.00000             0.00000             0.00000             0.00000             
