bin                 q                   two_theta           Fx                  Icoh               
0                   0.025000            0.351215            7.128692            6366.731120        
1                   0.075000            1.053659            5.234966            4880.575394        
2                   0.125000            1.756142            2.254175            2544.255963        
3                   0.175000            2.458691            -0.601285           311.178465         
4                   0.225000            3.161333            -2.300720           -1012.750941       
5                   0.275000            3.864094            -2.460050           -1133.465824       
6                   0.325000            4.567000            -1.451163           -349.018868        
7                   0.375000            5.270078            -0.123056           675.647840         
8                   0.425000            5.973354            0.688650            1295.043999        
9                   0.475000            6.676856            0.585964            1210.051518        
10                  0.525000            7.380610            -0.253367           566.447284         
11                  0.575000            8.084643            -1.267830           -201.946304        
12                  0.625000            8.788982            -1.890673           -667.131807        
13                  0.675000            9.493653            -1.879813           -654.334197        
14                  0.725000            10.198685           -1.414226           -305.752510        
15                  0.775000            10.904103           -0.925250           54.737231          
16                  0.825000            11.609937           -0.790981           151.783250         
17                  0.875000            12.316213           -1.093430           -67.255240         
18                  0.925000            13.022958           -1.584661           -417.050105        
19                  0.975000            13.730202           -1.869503           -614.405544        
20                  1.025000            14.437972           -1.677388           -474.007242        
21                  1.075000            15.146295           -1.046269           -32.053196         
22                  1.125000            15.855202           -0.303740           477.390705         
23                  1.175000            16.564719           0.138575            772.456757         
24                  1.225000            17.274877           0.044624            701.104922         
25                  1.275000            17.985704           -0.496364           334.318041         
26                  1.325000            18.697229           -1.122895           -80.670036         
27                  1.375000            19.409483           -1.422917           -274.470681        
28                  1.425000            20.122494           -1.186571           -119.696022        
29                  1.475000            20.836293           -0.534977           294.878685         
30                  1.525000            21.550911           0.152309            722.133849         
31                  1.575000            22.266378           0.464970            907.213500         
32                  1.625000            22.982726           0.205184            737.435143         
33                  1.675000            23.699984           -0.500111           302.201236         
34                  1.725000            24.418186           -1.282477           -168.704265        
35                  1.775000            25.137364           -1.755705           -445.846419        
36                  1.825000            25.857549           -1.741226           -431.966008        
37                  1.875000            26.578774           -1.358962           -206.629087        
38                  1.925000            27.301074           -0.933124           38.021934          
39                  1.975000            28.024481           -0.777597           124.886245         
40                  2.025000            28.749029           -0.998523           0.818987           
41                  2.075000            29.474753           -1.437781           -239.771656        
42                  2.125000            30.201689           -1.789523           -427.040819        
43                  2.175000            30.929871           -1.810767           -433.063107        
44                  2.225000            31.659335           -1.486600           -256.664338        
45                  2.275000            32.390118           -1.040104           -20.888725         
46                  2.325000            33.122258           -0.778852           113.740463         
47                  2.375000            33.855791           -0.879337           61.278110          
48                  2.425000            34.590756           -1.256333           -128.535490        
49                  2.475000            35.327192           -1.612985           -303.487554        
50                  2.525000            36.065138           -1.648335           -316.918581        
51                  2.575000            36.804634           -1.287165           -138.586356        
52                  2.625000            37.545722           -0.768224           110.428605         
53                  2.675000            38.288442           -0.507657           231.572652         
54                  2.725000            39.032837           -0.801234           92.288904          
55                  2.775000            39.778950           -1.550586           -252.347353        
56                  2.825000            40.526825           -2.211190           -547.938281        
57                  2.875000            41.276507           -2.042041           -465.294890        
58                  2.925000            42.028040           -0.549933           198.345449         
59                  2.975000            42.781471           2.122653            1358.144693        
60                  3.025000            43.536848           5.120562            2627.040524        
61                  3.075000            44.294218           7.208840            3476.845294        
62                  3.125000            45.053632           7.378651            3501.710498        
63                  3.175000            45.815138           5.410025            2643.275118        
64                  3.225000            46.578790           2.066681            1247.674536        
65                  3.275000            47.344638           -1.219195           -87.980464         
66                  3.325000            48.112736           -3.034397           -805.542874        
67                  3.375000            48.883140           -2.688152           -659.377949        
68                  3.425000            49.655905           -0.550345           173.239028         
69                  3.475000            50.431089           2.164343            1202.446599        
70                  3.525000            51.208750           4.049538            1892.447391        
71                  3.575000            51.988949           4.236464            1935.415291        
72                  3.625000            52.771746           2.798984            1384.655345        
73                  3.675000            53.557205           0.624525            583.866651         
74                  3.725000            54.345391           -1.149630           -53.026579         
75                  3.775000            55.136370           -1.789776           -275.958374        
76                  3.825000            55.930209           -1.327233           -112.729493        
77                  3.875000            56.726979           -0.436666           191.321772         
78                  3.925000            57.526752           0.061166            355.286184         
79                  3.975000            58.329600           -0.258105           244.856976         
80                  4.025000            59.135600           -1.176760           -57.505413         
81                  4.075000            59.944829           -2.026094           -329.039705        
82                  4.125000            60.757368           -2.170017           -369.803431        
83                  4.175000            61.573298           -1.451964           -140.793578        
84                  4.225000            62.392704           -0.307592           212.580981         
85                  4.275000            63.215674           0.528743            462.556690         
86                  4.325000            64.042297           0.524176            454.485049         
87                  4.375000            64.872667           -0.284817           210.156131         
88                  4.425000            65.706878           -1.310425           -89.889713         
89                  4.475000            66.545029           -1.814182           -232.322343        
90                  4.525000            67.387223           -1.426868           -120.024349        
91                  4.575000            68.233565           -0.433562           156.936692         
92                  4.625000            69.084162           0.385774            378.314653         
93                  4.675000            69.939129           0.278406            343.883100         
94                  4.725000            70.798580           -0.928451           18.963509          
95                  4.775000            71.662637           -2.618155           -422.577409        
96                  4.825000            72.531425           -3.688690           -691.817693        
97                  4.875000            73.405072           -3.213885           -561.264437        
98                  4.925000            74.283712           -1.062500           -15.611628         
99                  4.975000            75.167486           1.922811            719.332730         
100                 5.025000            76.056537           4.329593            1292.349714        
101                 5.075000            76.951016           4.949122            1421.333463        
102                 5.125000            77.851079           3.468612            1051.898929        
103                 5.175000            78.756888           0.665413            386.263390         
104                 5.225000            79.668613           -2.023054           -233.788725        
105                 5.275000            80.586429           -3.307388           -519.532262        
106                 5.325000            81.510521           -2.758865           -390.207595        
107                 5.375000            82.441081           -1.010445           -2.283208          
108                 5.425000            83.378309           0.663297            358.255496         
109                 5.475000            84.322414           1.127693            451.566760         
110                 5.525000            85.273616           0.063085            222.320039         
