bin                 q                   S                  
0                   0.025000            6366.731120        
1                   0.075000            4880.575394        
2                   0.125000            2544.255963        
3                   0.175000            311.178465         
4                   0.225000            -1012.750941       
5                   0.275000            -1133.465824       
6                   0.325000            -349.018868        
7                   0.375000            675.647840         
8                   0.425000            1295.043999        
9                   0.475000            1210.051518        
10                  0.525000            566.447284         
11                  0.575000            -201.946304        
12                  0.625000            -667.131807        
13                  0.675000            -654.334197        
14                  0.725000            -305.752510        
15                  0.775000            54.737231          
16                  0.825000            151.783250         
17                  0.875000            -67.255240         
18                  0.925000            -417.050105        
19                  0.975000            -614.405544        
20                  1.025000            -474.007242        
21                  1.075000            -32.053196         
22                  1.125000            477.390705         
23                  1.175000            772.456757         
24                  1.225000            701.104922         
25                  1.275000            334.318041         
26                  1.325000            -80.670036         
27                  1.375000            -274.470681        
28                  1.425000            -119.696022        
29                  1.475000            294.878685         
30                  1.525000            722.133849         
31                  1.575000            907.213500         
32                  1.625000            737.435143         
33                  1.675000            302.201236         
34                  1.725000            -168.704265        
35                  1.775000            -445.846419        
36                  1.825000            -431.966008        
37                  1.875000            -206.629087        
38                  1.925000            38.021934          
39                  1.975000            124.886245         
40                  2.025000            0.818987           
41                  2.075000            -239.771656        
42                  2.125000            -427.040819        
43                  2.175000            -433.063107        
44                  2.225000            -256.664338        
45                  2.275000            -20.888725         
46                  2.325000            113.740463         
47                  2.375000            61.278110          
48                  2.425000            -128.535490        
49                  2.475000            -303.487554        
50                  2.525000            -316.918581        
51                  2.575000            -138.586356        
52                  2.625000            110.428605         
53                  2.675000            231.572652         
54                  2.725000            92.288904          
55                  2.775000            -252.347353        
56                  2.825000            -547.938281        
57                  2.875000            -465.294890        
58                  2.925000            198.345449         
59                  2.975000            1358.144693        
60                  3.025000            2627.040524        
61                  3.075000            3476.845294        
62                  3.125000            3501.710498        
63                  3.175000            2643.275118        
64                  3.225000            1247.674536        
65                  3.275000            -87.980464         
66                  3.325000            -805.542874        
67                  3.375000            -659.377949        
68                  3.425000            173.239028         
69                  3.475000            1202.446599        
70                  3.525000            1892.447391        
71                  3.575000            1935.415291        
