# Histogrammed data for fix fave
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
0 250 329312697.5619732 0 10.043521840783393 99.97840508922243
1 10.18 8.29658e-22 2.51936e-30
2 10.54 1.15744e-22 3.51472e-31
3 10.9 3.72377e-23 1.13077e-31
4 11.26 8.56915e-23 2.60213e-31
5 11.62 1.12736e-22 3.42338e-31
6 11.98 0 0
7 12.34 1.21216e-22 3.68088e-31
8 12.7 6.82341e-22 2.07201e-30
9 13.06 1.24712e-22 3.78703e-31
10 13.42 1.32752e-22 4.03119e-31
11 13.78 6.53975e-23 1.98588e-31
12 14.14 4.53891e-23 1.3783e-31
13 14.5 2.01015e-22 6.10406e-31
14 14.86 4.67009e-22 1.41813e-30
15 15.22 1.25638e-21 3.81516e-30
16 15.58 1.09228e-22 3.31683e-31
17 15.94 4.45311e-22 1.35224e-30
18 16.3 8.61436e-23 2.61586e-31
19 16.66 5.02386e-22 1.52556e-30
20 17.02 2.50757e-22 7.61456e-31
21 17.38 2.32398e-22 7.05705e-31
22 17.74 6.3734e-22 1.93536e-30
23 18.1 9.60532e-22 2.91678e-30
24 18.46 2.77598e-22 8.42962e-31
25 18.82 5.64091e-22 1.71293e-30
26 19.18 9.45545e-22 2.87127e-30
27 19.54 8.07288e-23 2.45143e-31
28 19.9 1.14835e-22 3.4871e-31
29 20.26 1.06759e-21 3.24188e-30
30 20.62 1.13641e-21 3.45084e-30
31 20.98 1.51817e-22 4.61011e-31
32 21.34 4.38854e-22 1.33264e-30
33 21.7 8.30441e-22 2.52174e-30
34 22.06 3.66523e-22 1.11299e-30
35 22.42 3.62166e-22 1.09976e-30
36 22.78 3.86923e-22 1.17494e-30
37 23.14 1.11436e-21 3.38391e-30
38 23.5 8.63694e-23 2.62272e-31
39 23.86 3.78483e-22 1.14931e-30
40 24.22 3.39297e-22 1.03032e-30
41 24.58 5.01291e-23 1.52223e-31
42 24.94 4.88653e-22 1.48386e-30
43 25.3 1.00569e-21 3.05392e-30
44 25.66 6.52993e-22 1.9829e-30
45 26.02 4.67193e-22 1.41869e-30
46 26.38 4.40714e-22 1.33828e-30
47 26.74 7.76126e-23 2.3568e-31
48 27.1 7.75341e-22 2.35442e-30
49 27.46 9.39014e-23 2.85144e-31
50 27.82 4.48013e-22 1.36045e-30
51 28.18 4.62771e-22 1.40526e-30
52 28.54 5.57121e-22 1.69177e-30
53 28.9 5.28236e-22 1.60406e-30
54 29.26 3.3992e-22 1.03221e-30
55 29.62 3.52673e-22 1.07094e-30
56 29.98 4.27945e-22 1.29951e-30
57 30.34 4.12078e-22 1.25133e-30
58 30.7 3.24186e-22 9.84431e-31
59 31.06 1.78538e-22 5.42153e-31
60 31.42 4.93149e-22 1.49751e-30
61 31.78 2.17804e-22 6.61389e-31
62 32.14 2.61187e-22 7.93128e-31
63 32.5 4.654e-22 1.41325e-30
64 32.86 2.01837e-22 6.12903e-31
65 33.22 6.55809e-22 1.99145e-30
66 33.58 4.17411e-22 1.26752e-30
67 33.94 1.96336e-22 5.96199e-31
68 34.3 2.9035e-22 8.81686e-31
69 34.66 4.39851e-22 1.33566e-30
70 35.02 1.14308e-22 3.47111e-31
71 35.38 1.92464e-22 5.84442e-31
72 35.74 3.55855e-22 1.0806e-30
73 36.1 4.32051e-22 1.31198e-30
74 36.46 3.73092e-22 1.13294e-30
75 36.82 2.48476e-22 7.54528e-31
76 37.18 1.80515e-22 5.48157e-31
77 37.54 3.58076e-22 1.08734e-30
78 37.9 1.38443e-22 4.20398e-31
79 38.26 6.51224e-22 1.97752e-30
80 38.62 2.52704e-22 7.67368e-31
81 38.98 2.74807e-22 8.34488e-31
82 39.34 4.54183e-22 1.37918e-30
83 39.7 1.06934e-22 3.24717e-31
84 40.06 3.01784e-22 9.16405e-31
85 40.42 4.89346e-22 1.48596e-30
86 40.78 3.80925e-23 1.15673e-31
87 41.14 4.14437e-22 1.25849e-30
88 41.5 9.04173e-22 2.74564e-30
89 41.86 1.84388e-22 5.59916e-31
90 42.22 2.92726e-22 8.88899e-31
91 42.58 1.77999e-22 5.40516e-31
92 42.94 4.00969e-21 1.21759e-29
93 43.3 8.67512e-23 2.63431e-31
94 43.66 4.0592e-22 1.23263e-30
95 44.02 1.33339e-22 4.049e-31
96 44.38 1.53043e+08 0.464734
97 44.74 1.39607e-22 4.23935e-31
98 45.1 3.2145e-22 9.76125e-31
99 45.46 1.24086e-22 3.76802e-31
100 45.82 1.23623e-22 3.75398e-31
101 46.18 7.99014e-22 2.42631e-30
102 46.54 2.72584e-22 8.27736e-31
103 46.9 3.58443e-22 1.08846e-30
104 47.26 1.56528e-22 4.75316e-31
105 47.62 3.88951e-22 1.1811e-30
106 47.98 7.78606e-22 2.36434e-30
107 48.34 1.50334e-22 4.56508e-31
108 48.7 2.74021e-22 8.321e-31
109 49.06 3.02563e-22 9.1877e-31
110 49.42 4.0801e-22 1.23897e-30
111 49.78 4.3377e-22 1.3172e-30
112 50.14 2.51723e-22 7.64388e-31
113 50.5 1.02931e-22 3.12564e-31
114 50.86 1.874e-22 5.69063e-31
