bin                 q                   Fx                  Icoh               
0                   0.025000            0.351215            -2.340324           -1049.797799       
1                   0.075000            1.053659            -1.955670           -748.074719        
2                   0.125000            1.756142            -1.366483           -286.532645        
3                   0.175000            2.458691            -0.825140           136.469890         
4                   0.225000            3.161333            -0.511791           380.123774         
5                   0.275000            3.864094            -0.446803           429.457745         
6                   0.325000            4.567000            -0.512290           377.291397         
7                   0.375000            5.270078            -0.559409           339.456649         
8                   0.425000            5.973354            -0.521415           367.031877         
9                   0.475000            6.676856            -0.453389           417.051076         
10                  0.525000            7.380610            -0.475726           397.750513         
11                  0.575000            8.084643            -0.668735           249.777512         
12                  0.625000            8.788982            -0.999421           0.434002           
13                  0.675000            9.493653            -1.335382           -249.429796        
14                  0.725000            10.198685           -1.534669           -394.654947        
15                  0.775000            10.904103           -1.543441           -397.946373        
16                  0.825000            11.609937           -1.427387           -310.355670        
17                  0.875000            12.316213           -1.312830           -225.189296        
18                  0.925000            13.022958           -1.282324           -201.387345        
19                  0.975000            13.730202           -1.305993           -216.219947        
20                  1.025000            14.437972           -1.265115           -185.516191        
21                  1.075000            15.146295           -1.054923           -38.048494         
22                  1.125000            15.855202           -0.689936           212.595069         
23                  1.175000            16.564719           -0.326119           457.189376         
24                  1.225000            17.274877           -0.170409           556.784555         
25                  1.275000            17.985704           -0.332181           443.304046         
26                  1.325000            18.697229           -0.722158           182.379891         
27                  1.375000            19.409483           -1.081584           -52.947360         
28                  1.425000            20.122494           -1.138220           -88.676259         
29                  1.475000            20.836293           -0.793467           130.966242         
30                  1.525000            21.550911           -0.212429           493.558359         
31                  1.575000            22.266378           0.255657            777.592151         
32                  1.625000            22.982726           0.288177            788.217042         
33                  1.675000            23.699984           -0.200382           483.398511         
34                  1.725000            24.418186           -0.988662           6.771272           
35                  1.775000            25.137364           -1.673586           -397.398318        
36                  1.825000            25.857549           -1.916858           -534.319539        
37                  1.875000            26.578774           -1.655202           -377.153077        
38                  1.925000            27.301074           -1.135422           -76.993787         
39                  1.975000            28.024481           -0.748378           141.293357         
40                  2.025000            28.749029           -0.769791           127.669222         
41                  2.075000            29.474753           -1.180280           -98.739032         
42                  2.125000            30.201689           -1.686109           -371.105563        
43                  2.175000            30.929871           -1.927287           -495.301125        
44                  2.225000            31.659335           -1.730951           -385.550569        
45                  2.275000            32.390118           -1.234161           -121.964269        
46                  2.325000            33.122258           -0.787712           109.183725         
47                  2.375000            33.855791           -0.704539           150.048875         
48                  2.425000            34.590756           -1.029026           -14.554768         
49                  2.475000            35.327192           -1.496057           -245.596533        
50                  2.525000            36.065138           -1.720146           -352.020860        
51                  2.575000            36.804634           -1.489554           -236.259601        
52                  2.625000            37.545722           -0.952905           22.438042          
53                  2.675000            38.288442           -0.544473           214.256157         
54                  2.725000            39.032837           -0.669524           153.442608         
55                  2.775000            39.778950           -1.349786           -160.315875        
56                  2.825000            40.526825           -2.086127           -491.360469        
57                  2.875000            41.276507           -2.078787           -481.702913        
58                  2.925000            42.028040           -0.716883           124.770257         
59                  2.975000            42.781471           1.948364            1282.340673        
60                  3.025000            43.536848           5.062908            2602.294591        
61                  3.075000            44.294218           7.304969            3517.560558        
62                  3.125000            45.053632           7.555360            3575.563149        
63                  3.175000            45.815138           5.539227            2696.553797        
64                  3.225000            46.578790           2.058030            1244.154897        
65                  3.275000            47.344638           -1.355341           -142.626823        
66                  3.325000            48.112736           -3.197404           -870.087446        
67                  3.375000            48.883140           -2.761301           -687.949033        
68                  3.425000            49.655905           -0.484225           198.712785         
69                  3.475000            50.431089           2.318681            1261.094865        
70                  3.525000            51.208750           4.179763            1941.252878        
71                  3.575000            51.988949           4.250562            1940.626128        
72                  3.625000            52.771746           2.690121            1344.976999        
73                  3.675000            53.557205           0.473560            529.608524         
74                  3.725000            54.345391           -1.234056           -82.946059         
75                  3.775000            55.136370           -1.749290           -261.811853        
76                  3.825000            55.930209           -1.193941           -66.811459         
77                  3.875000            56.726979           -0.307939           235.040822         
78                  3.925000            57.526752           0.093708            366.181526         
79                  3.975000            58.329600           -0.342524           216.995036         
80                  4.025000            59.135600           -1.315054           -102.496937        
81                  4.075000            59.944829           -2.118340           -358.620418        
82                  4.125000            60.757368           -2.151551           -363.966799        
83                  4.175000            61.573298           -1.338607           -105.481175        
84                  4.225000            62.392704           -0.182448           251.002393         
85                  4.275000            63.215674           0.576121            476.892003         
86                  4.325000            64.042297           0.461782            435.880134         
87                  4.375000            64.872667           -0.409950           173.385929         
88                  4.425000            65.706878           -1.407574           -118.020838        
89                  4.475000            66.545029           -1.814629           -232.449873        
90                  4.525000            67.387223           -1.332433           -93.471479         
91                  4.575000            68.233565           -0.313741           190.134187         
92                  4.625000            69.084162           0.444874            394.449003         
93                  4.675000            69.939129           0.235881            332.443929         
94                  4.725000            70.798580           -1.040079           -10.622794         
95                  4.775000            71.662637           -2.717704           -448.574221        
96                  4.825000            72.531425           -3.705294           -696.090259        
97                  4.875000            73.405072           -3.137385           -541.870220        
98                  4.925000            74.283712           -0.949447           12.627571          
99                  4.975000            75.167486           1.990895            736.088831         
100                 5.025000            76.056537           4.304946            1286.373126        
101                 5.075000            76.951016           4.851188            1397.935532        
102                 5.125000            77.851079           3.368825            1028.409438        
103                 5.175000            78.756888           0.635145            379.243282         
104                 5.225000            79.668613           -1.963494           -220.178023        
105                 5.275000            80.586429           -3.202289           -495.868140        
106                 5.325000            81.510521           -2.684236           -373.651034        
107                 5.375000            82.441081           -1.019089           -4.172861          
108                 5.425000            83.378309           0.579096            340.119622         
109                 5.475000            84.322414           1.029542            430.735775         
110                 5.525000            85.273616           0.021445            213.611993         
111                 5.575000            86.232145           -1.815977           -168.149027        
112                 5.625000            87.198240           -3.293970           -465.821511        
113                 5.675000            88.172155           -3.357794           -471.805246        
114                 5.725000            89.154154           -1.685221           -135.121134        
115                 5.775000            90.144516           1.144616            416.762716         
116                 5.825000            91.143535           3.983696            954.442469         
117                 5.875000            92.151519           5.732051            1270.624015        
118                 5.925000            93.168795           5.877873            1279.406288        
119                 5.975000            94.195706           4.673307            1040.133873        
120                 6.025000            95.232617           2.890740            703.069493         
121                 6.075000            96.279913           1.346117            417.872609         
122                 6.125000            97.338003           0.484582            260.640671         
123                 6.175000            98.407321           0.248648            216.091772         
124                 6.225000            99.488328           0.254360            213.991974         
125                 6.275000            100.581515          0.116394            187.753290         
126                 6.325000            101.687407          -0.300807           115.925615         
127                 6.375000            102.806564          -0.847533           24.922413          
128                 6.425000            103.939587          -1.252514           -40.695806         
129                 6.475000            105.087117          -1.343727           -54.619428         
130                 6.525000            106.249848          -1.167320           -26.216259         
131                 6.575000            107.428524          -0.935875           9.907370           
132                 6.625000            108.623951          -0.862606           20.933126          
133                 6.675000            109.836998          -1.010877           -1.634236          
134                 6.725000            111.068612          -1.264429           -39.183504         
135                 6.775000            112.319822          -1.428300           -62.595169         
136                 6.825000            113.591749          -1.376166           -54.224217         
137                 6.875000            114.885624          -1.132910           -18.897972         
138                 6.925000            116.202798          -0.836455           22.938429          
139                 6.975000            117.544760          -0.616063           53.122676          
140                 7.025000            118.913161          -0.486220           70.131893          
141                 7.075000            120.309835          -0.341597           88.669285          
142                 7.125000            121.736832          -0.060525           124.834831         
143                 7.175000            123.196454          0.360483            178.377130         
144                 7.225000            124.691300          0.748086            226.167762         
145                 7.275000            126.224327          0.827524            233.335117         
146                 7.325000            127.798915          0.396066            175.913536         
147                 7.375000            129.418964          -0.515750           60.223696          
148                 7.425000            131.089011          -1.606763           -74.481534         
149                 7.475000            132.814382          -2.428857           -173.132931        
150                 7.525000            134.601405          -2.606585           -192.169496        
151                 7.575000            136.457691          -2.025409           -121.086900        
152                 7.625000            138.392530          -0.879821           14.011240          
153                 7.675000            140.417463          0.440740            165.849224         
154                 7.725000            142.547122          1.552577            290.145735         
