k	S(k)
0.000000	4000.000000
0.178500	0.000000
0.252437	0.000000
0.309170	0.000000
0.356999	0.000000
0.399137	0.000000
0.437233	0.000000
0.504873	0.000000
0.535499	0.000000
0.564465	0.000000
0.592016	0.000000
0.618341	0.000000
0.643589	0.000000
0.667884	0.000000
0.713998	0.000000
0.735973	0.000000
0.757310	0.000000
0.778062	0.000000
0.798274	0.000000
0.817988	0.000000
0.837237	0.000000
0.874466	0.000000
0.892498	0.000000
0.910173	0.000000
0.927511	0.000000
0.961250	0.000000
0.977682	0.000000
1.009746	0.000000
1.025402	0.000000
1.040822	0.000000
1.056018	0.000000
1.070997	0.000000
1.085771	0.000000
1.100345	0.000000
1.128930	0.000000
1.142955	0.000000
1.156810	0.000000
1.170500	0.000000
1.184032	0.000000
1.197412	0.000000
1.210643	0.000000
1.236681	0.000000
1.249497	0.000000
1.262183	0.000000
1.274742	0.000000
1.287179	0.000000
1.299497	0.000000
1.311699	0.000000
1.335769	0.000000
1.347642	0.000000
1.359412	0.000000
1.371081	0.000000
1.394126	0.000000
1.405507	0.000000
1.427997	0.000000
1.439110	0.000000
1.450137	0.000000
1.461082	0.000000
1.471945	0.000000
1.482729	0.000000
1.493435	0.000000
1.514619	0.000000
1.525101	0.000000
1.535511	0.000000
1.545852	0.000000
1.556123	0.000000
1.566327	0.000000
1.576466	0.000000
1.596549	0.000000
1.606496	0.000000
1.616382	0.000000
1.626209	0.000000
1.635976	0.000000
1.645685	0.000000
1.655337	0.000000
1.674475	0.000000
1.683962	0.000000
1.693396	0.000000
1.702777	0.000000
1.721388	0.000000
1.730618	0.000000
1.748932	0.000000
1.758017	0.000000
1.767056	0.000000
1.776048	0.000000
1.784996	0.000000
1.793899	0.000000
1.802757	0.000000
1.820346	0.000000
1.829076	0.000000
1.837766	0.000000
1.846414	0.000000
1.855022	0.000000
1.863590	0.000000
1.872119	0.000000
1.897477	0.000000
1.905854	0.000000
1.914195	0.000000
1.922499	0.000000
1.930768	0.000000
1.939002	0.000000
1.955365	0.000000
1.963495	0.000000
1.971592	0.000000
1.979656	0.000000
1.995686	0.000000
2.003653	0.000000
2.019492	0.000000
2.027366	0.000000
2.035208	0.000000
2.043021	0.000000
2.050804	0.000000
2.058558	0.000000
2.066282	0.000000
2.081645	0.000000
2.089284	0.000000
2.096895	0.000000
2.104479	0.000000
2.112036	0.000000
2.119565	0.000000
2.127068	0.000000
2.141995	0.000000
2.149420	0.000000
2.156819	0.000000
2.164192	0.000000
2.171541	0.000000
2.178865	0.000000
2.186164	0.000000
2.200691	0.000000
2.207918	0.000000
2.215122	0.000000
2.222302	0.000000
2.236593	0.000000
2.243705	0.000000
2.257861	0.000000
2.264906	0.000000
2.271929	0.000000
2.278930	0.000000
2.285910	0.000000
2.292869	0.000000
2.299806	0.000000
2.313619	0.000000
2.320495	0.000000
2.327350	0.000000
2.334185	0.000000
2.341000	0.000000
2.347795	0.000000
2.354571	0.000000
2.368065	0.000000
2.374782	0.000000
2.381481	0.000000
2.388162	0.000000
2.394823	0.000000
2.401466	0.000000
2.408091	0.000000
2.421286	0.000000
2.427857	0.000000
2.434410	0.000000
2.440945	0.000000
2.453964	0.000000
2.460447	0.000000
2.473363	0.000000
2.479795	0.000000
2.486211	0.000000
2.492611	0.000000
2.498994	0.000000
2.505361	0.000000
2.511712	0.000000
2.524365	0.000000
2.530668	0.000000
2.536956	0.000000
2.543228	0.000000
2.549484	0.000000
2.555725	0.000000
2.561951	0.000000
2.574358	0.000000
2.580539	0.000000
2.586705	0.000000
2.592856	0.000000
2.598993	0.000000
2.605116	0.000000
2.611224	0.000000
2.623397	0.000000
2.629463	0.000000
2.635515	0.000000
2.641553	0.000000
2.653587	0.000000
2.659584	0.000000
2.671537	0.000000
2.677494	0.000000
2.683437	0.000000
2.689367	0.000000
2.695285	0.000000
2.701189	0.000000
2.707080	0.000000
2.718825	0.000000
2.724678	0.000000
2.730519	0.000000
2.736347	0.000000
2.742163	0.000000
2.747966	0.000000
2.753757	0.000000
2.771059	0.000000
2.776802	0.000000
2.782533	0.000000
2.788253	0.000000
2.793960	0.000000
2.799657	0.000000
2.811014	0.000000
2.816676	0.000000
2.822326	0.000000
2.827965	0.000000
2.839210	0.000000
2.844815	0.000000
2.855993	0.000000
2.861566	0.000000
2.867128	0.000000
2.872679	0.000000
2.878219	0.000000
2.883749	0.000000
2.889268	0.000000
2.900275	0.000000
2.905763	0.000000
2.911240	0.000000
2.916707	0.000000
2.922164	0.000000
2.927611	0.000000
2.933047	0.000000
2.943891	0.000000
2.949297	0.000000
2.954694	0.000000
2.960081	0.000000
2.965458	0.000000
2.970825	0.000000
2.976183	0.000000
2.986869	0.000000
2.992198	0.000000
2.997518	0.000000
3.002828	0.000000
3.013420	0.000000
3.018702	0.000000
3.029238	0.000000
3.034493	0.000000
3.039738	0.000000
3.044975	0.000000
3.050202	0.000000
3.055421	0.000000
3.060630	0.000000
3.071023	0.000000
3.076206	0.000000
3.081381	0.000000
3.086546	0.000000
3.091703	571.428571
3.096852	0.000000
3.101992	0.000000
3.112247	0.000000
3.117361	0.000000
3.122467	0.000000
3.127565	0.000000
3.132655	0.000000
3.137736	0.000000
3.142809	0.000000
3.152931	0.000000
3.157980	0.000000
3.163021	0.000000
3.168053	0.000000
3.178095	0.000000
3.183104	0.000000
3.193098	0.000000
3.198083	0.000000
3.203060	0.000000
3.208030	0.000000
3.212992	0.000000
3.217947	0.000000
3.222894	0.000000
3.232765	0.000000
3.237689	0.000000
3.242606	0.000000
3.247515	0.000000
3.252417	0.000000
3.257312	0.000000
3.262199	0.000000
3.271951	0.000000
3.276817	0.000000
3.281675	0.000000
3.286526	0.000000
3.291370	0.000000
3.296206	0.000000
3.301036	0.000000
3.310674	0.000000
3.315483	0.000000
3.320284	0.000000
3.325079	0.000000
3.334647	0.000000
3.339421	0.000000
3.348949	0.000000
3.353703	0.000000
3.358450	0.000000
3.363190	0.000000
3.367923	0.000000
3.372650	0.000000
3.377371	0.000000
3.386791	0.000000
3.391492	0.000000
3.396186	0.000000
3.400874	0.000000
3.405555	0.000000
3.410230	0.000000
3.414898	0.000000
3.428865	0.000000
3.433508	0.000000
3.438145	0.000000
3.442775	0.000000
3.447400	0.000000
3.452018	0.000000
3.461235	0.000000
3.465835	0.000000
3.470429	0.000000
3.475016	0.000000
3.484173	0.000000
3.488742	0.000000
3.497863	0.000000
3.502415	0.000000
3.506960	0.000000
3.511500	0.000000
3.516034	0.000000
3.520562	0.000000
3.525084	0.000000
3.534111	0.000000
3.538616	0.000000
3.543116	0.000000
3.547609	0.000000
3.552097	0.000000
3.556579	0.000000
3.561055	0.000000
3.569992	1333.333333
3.574451	0.000000
3.578906	0.000000
3.583354	0.000000
3.587797	0.000000
3.592235	0.000000
3.596667	0.000000
3.605515	0.000000
3.609931	0.000000
3.614341	0.000000
3.618746	0.000000
3.627540	0.000000
3.631929	0.000000
3.640691	0.000000
3.645065	0.000000
3.649433	0.000000
3.653795	0.000000
3.658153	0.000000
3.662505	0.000000
3.666852	0.000000
3.675531	0.000000
3.679863	0.000000
3.684190	0.000000
3.688512	0.000000
3.692828	0.000000
3.697140	0.000000
3.701446	0.000000
3.710044	0.000000
3.714336	0.000000
3.718622	0.000000
3.722904	0.000000
3.727181	0.000000
3.731453	0.000000
3.735720	0.000000
3.744239	0.000000
3.748491	0.000000
3.752739	0.000000
3.756982	0.000000
3.765453	0.000000
3.769681	0.000000
3.782338	0.000000
3.786548	0.000000
3.790753	0.000000
3.794953	0.000000
3.799149	0.000000
3.803340	0.000000
3.811708	0.000000
3.815885	0.000000
3.820058	0.000000
3.824226	0.000000
3.828390	0.000000
3.832549	0.000000
3.836703	0.000000
3.844999	0.000000
3.849140	0.000000
3.853276	0.000000
3.857409	0.000000
3.861536	0.000000
3.865660	0.000000
3.869779	0.000000
3.878004	0.000000
3.882109	0.000000
3.886211	0.000000
3.890308	0.000000
3.898490	0.000000
3.902574	0.000000
3.910730	0.000000
3.914801	0.000000
3.918869	0.000000
3.922932	0.000000
3.926991	0.000000
3.931046	0.000000
3.935096	0.000000
3.943185	0.000000
3.947223	0.000000
3.951257	0.000000
3.955287	0.000000
3.959312	0.000000
3.963334	0.000000
3.967351	0.000000
3.979380	0.000000
3.983381	0.000000
3.987379	0.000000
3.991372	0.000000
3.995361	0.000000
3.999347	0.000000
4.007306	0.000000
4.011279	0.000000
4.015249	0.000000
4.019215	0.000000
4.027134	0.000000
4.031088	0.000000
4.038984	0.000000
4.042927	0.000000
4.046865	0.000000
4.050800	0.000000
4.054731	0.000000
4.058658	0.000000
4.062581	0.000000
4.070417	0.000000
4.074329	0.000000
4.078237	0.000000
4.082141	0.000000
4.086042	0.000000
4.089939	0.000000
4.093833	0.000000
4.101608	0.000000
4.105490	0.000000
4.109369	0.000000
4.113244	0.000000
4.117115	0.000000
4.120983	0.000000
4.124847	0.000000
4.132564	0.000000
4.136417	0.000000
4.140267	0.000000
4.144113	0.000000
4.151794	0.000000
4.155630	0.000000
4.163290	0.000000
4.167115	0.000000
4.170936	0.000000
4.174754	0.000000
4.178568	0.000000
4.182379	0.000000
4.186186	0.000000
4.193791	0.000000
4.197588	0.000000
4.201381	0.000000
4.205171	0.000000
4.208958	0.000000
4.212741	0.000000
4.216521	0.000000
4.224071	0.000000
4.227841	0.000000
4.231607	0.000000
4.235370	0.000000
4.239130	0.000000
4.242887	0.000000
4.246640	0.000000
4.254136	0.000000
4.257879	0.000000
4.261619	0.000000
4.265356	0.000000
4.272819	0.000000
