q	S(q)
0.025000	1.854444 
0.075000	1.470364 
0.125000	0.855033 
0.175000	0.250301 
0.225000	-0.115438 
0.275000	-0.126097 
0.325000	0.170946 
0.375000	0.587845 
0.425000	0.886877 
0.475000	0.897269 
0.525000	0.599235 
0.575000	0.129039 
0.625000	-0.300222 
0.675000	-0.519141 
0.725000	-0.494062 
0.775000	-0.334863 
0.825000	-0.212654 
0.875000	-0.238810 
0.925000	-0.384367 
0.975000	-0.496184 
1.025000	-0.404290 
1.075000	-0.052070 
1.125000	0.440320 
1.175000	0.830645 
1.225000	0.902133 
1.275000	0.612416 
1.325000	0.142620 
1.375000	-0.196769 
1.425000	-0.154553 
1.475000	0.293734 
1.525000	0.910626 
1.575000	1.326273 
1.625000	1.260162 
1.675000	0.698464 
1.725000	-0.087834 
1.775000	-0.701339 
1.825000	-0.857647 
1.875000	-0.555294 
1.925000	-0.067208 
1.975000	0.241720 
2.025000	0.152985 
2.075000	-0.267216 
2.125000	-0.721056 
2.175000	-0.888021 
2.225000	-0.648544 
2.275000	-0.168715 
2.325000	0.215247 
2.375000	0.236443 
2.425000	-0.105775 
2.475000	-0.535570 
2.525000	-0.695971 
2.575000	-0.421303 
2.625000	0.109390 
2.675000	0.467937 
2.725000	0.286008 
2.775000	-0.417597 
2.825000	-1.128408 
2.875000	-1.066466 
2.925000	0.339425 
2.975000	3.007243 
3.025000	6.082539 
3.075000	8.272785 
3.125000	8.495995 
3.175000	6.495824 
3.225000	3.061025 
3.275000	-0.309439 
3.325000	-2.142502 
3.375000	-1.736709 
3.425000	0.493445 
3.475000	3.266674 
3.525000	5.135953 
3.575000	5.245941 
3.625000	3.726944 
3.675000	1.524522 
3.725000	-0.205600 
3.775000	-0.762999 
3.825000	-0.238951 
3.875000	0.648615 
3.925000	1.082724 
3.975000	0.685939 
4.025000	-0.268443 
4.075000	-1.087290 
4.125000	-1.157853 
4.175000	-0.376896 
4.225000	0.775327 
4.275000	1.560158 
4.325000	1.482851 
4.375000	0.632254 
4.425000	-0.374848 
4.475000	-0.814546 
4.525000	-0.364345 
4.575000	0.645819 
4.625000	1.424951 
4.675000	1.250240 
4.725000	-0.002451 
4.775000	-1.684212 
4.825000	-2.699825 
4.875000	-2.163309 
4.925000	0.012374 
4.975000	2.967994 
5.025000	5.313417 
5.075000	5.884404 
5.125000	4.402611 
5.175000	1.645376 
5.225000	-0.983663 
5.275000	-2.237864 
5.325000	-1.709507 
5.375000	-0.016202 
5.425000	1.607533 
5.475000	2.062697 
5.525000	1.035492 
5.575000	-0.830776 
5.625000	-2.326550 
5.675000	-2.384567 
5.725000	-0.687155 
5.775000	2.168474 
5.825000	5.015861 
5.875000	6.749426 
5.925000	6.868361 
5.975000	5.644269 
6.025000	3.863384 
6.075000	2.340080 
6.125000	1.503894 
6.175000	1.279106 
6.225000	1.273989 
6.275000	1.111311 
6.325000	0.673421 
6.375000	0.124775 
6.425000	-0.262280 
6.475000	-0.328870 
6.525000	-0.138884 
6.575000	0.085535 
6.625000	0.136518 
6.675000	-0.033107 
6.725000	-0.291797 
6.775000	-0.441150 
6.825000	-0.365532 
6.875000	-0.106781 
6.925000	0.186193 
6.975000	0.386899 
