q	S(q)
0.062500	-44.095758 
0.187500	-27.777081 
0.312500	-6.092678 
0.437500	7.863191 
0.562500	8.731734 
0.687500	1.512323 
0.812500	-4.486165 
0.937500	-4.107496 
1.062500	0.402867 
1.187500	3.324533 
1.312500	1.749919 
1.437500	-2.032053 
1.562500	-3.685136 
1.687500	-1.563567 
1.812500	1.910967 
1.937500	3.180329 
2.062500	1.282376 
2.187500	-1.510798 
2.312500	-2.426642 
2.437500	-1.076038 
2.562500	0.525730 
2.687500	0.485566 
2.812500	-0.874427 
2.937500	-1.590103 
3.062500	-0.448931 
3.187500	1.573253 
3.312500	2.395132 
3.437500	1.144438 
3.562500	-0.889187 
3.687500	-1.676903 
3.812500	-0.641361 
3.937500	0.776424 
4.062500	0.741346 
4.187500	-0.961346 
4.312500	-2.678723 
4.437500	-2.618626 
4.562500	-0.679880 
4.687500	1.504395 
4.812500	2.246392 
4.937500	1.384344 
5.062500	0.194584 
5.187500	-0.090674 
5.312500	0.503511 
5.437500	0.949925 
5.562500	0.490107 
5.687500	-0.527575 
5.812500	-1.067094 
5.937500	-0.504559 
6.062500	0.784059 
6.187500	1.839100 
6.312500	1.952830 
6.437500	1.087973 
6.562500	-0.287671 
6.687500	-1.486492 
6.812500	-1.698651 
6.937500	-0.172020 
7.062500	3.195541 
7.187500	7.209139 
7.312500	9.585272 
7.437500	8.398145 
7.562500	3.817758 
7.687500	-1.514478 
7.812500	-4.185986 
7.937500	-2.588356 
8.062500	1.837158 
8.187500	5.827266 
8.312500	6.913994 
8.437500	5.112457 
8.562500	2.335751 
8.687500	0.383651 
8.812500	-0.442093 
8.937500	-0.945205 
9.062500	-1.650168 
9.187500	-2.109161 
9.312500	-1.596332 
9.437500	-0.224045 
9.562500	0.940864 
9.687500	0.970926 
9.812500	0.133304 
9.937500	-0.362182 
10.062500	0.277297 
10.187500	1.464629 
10.312500	1.805004 
10.437500	0.651655 
10.562500	-1.061264 
10.687500	-1.704701 
10.812500	-0.687874 
10.937500	0.831886 
11.062500	1.116725 
11.187500	-0.258291 
11.312500	-1.789130 
11.437500	-1.442747 
11.562500	1.283114 
11.687500	4.723025 
11.812500	6.491576 
11.937500	5.581104 
12.062500	3.072290 
12.187500	0.893026 
12.312500	0.022208 
12.437500	-0.053032 
12.562500	-0.291449 
12.687500	-0.824737 
12.812500	-0.918310 
12.937500	-0.105712 
13.062500	0.955873 
13.187500	1.054079 
13.312500	-0.111872 
13.437500	-1.249009 
13.562500	-0.545378 
13.687500	2.421546 
13.812500	5.915049 
13.937500	7.373669 
14.062500	5.703768 
14.187500	2.331016 
14.312500	-0.052571 
14.437500	0.115642 
14.562500	1.987986 
14.687500	3.286955 
14.812500	2.510811 
14.937500	0.234727 
15.062500	-1.621205 
15.187500	-1.683779 
15.312500	-0.300437 
15.437500	1.008371 
15.562500	1.086123 
15.687500	0.098720 
15.812500	-0.883841 
15.937500	-1.049465 
16.062500	-0.507884 
16.187500	0.081699 
16.312500	0.327891 
16.437500	0.428753 
16.562500	0.743248 
16.687500	1.223551 
16.812500	1.411506 
16.937500	0.992606 
17.062500	0.236988 
17.187500	-0.217120 
17.312500	-0.030470 
17.437500	0.453435 
17.562500	0.558640 
17.687500	0.025392 
17.812500	-0.621860 
17.937500	-0.494770 
18.062500	0.838208 
18.187500	2.916851 
18.312500	4.737029 
18.437500	5.522489 
18.562500	5.203098 
18.687500	4.239820 
18.812500	3.095346 
18.937500	1.929574 
19.062500	0.761698 
19.187500	-0.206418 
19.312500	-0.574214 
19.437500	-0.125612 
19.562500	0.792815 
19.687500	1.375621 
19.812500	0.969614 
19.937500	-0.315762 
20.062500	-1.582039 
20.187500	-1.796212 
20.312500	-0.612862 
20.437500	1.320828 
20.562500	2.833586 
20.687500	3.083091 
20.812500	2.108779 
20.937500	0.691134 
21.062500	-0.285000 
21.187500	-0.403903 
21.312500	0.178904 
21.437500	1.047011 
21.562500	1.863090 
21.687500	2.448038 
21.812500	2.660995 
21.937500	2.354465 
22.062500	1.532435 
22.187500	0.521092 
22.312500	-0.140343 
22.437500	-0.108852 
22.562500	0.409126 
22.687500	0.762672 
22.812500	0.417514 
22.937500	-0.511834 
23.062500	-1.290168 
23.187500	-1.180525 
23.312500	-0.100604 
23.437500	1.304402 
23.562500	2.238459 
23.687500	2.408525 
23.812500	2.121143 
23.937500	1.783458 
24.062500	1.407013 
24.187500	0.699998 
24.312500	-0.343779 
24.437500	-1.071591 
24.562500	-0.577326 
24.687500	1.383033 
24.812500	3.888015 
24.937500	5.401590 
25.062500	5.000403 
25.187500	3.155238 
25.312500	1.290582 
25.437500	0.507459 
25.562500	0.684398 
25.687500	0.806164 
25.812500	0.146555 
25.937500	-0.918007 
26.062500	-1.291824 
26.187500	-0.329416 
26.312500	1.425095 
26.437500	2.689286 
26.562500	2.613331 
26.687500	1.481327 
26.812500	0.284872 
26.937500	-0.298416 
27.062500	-0.413919 
27.187500	-0.553011 
27.312500	-0.737758 
27.437500	-0.379386 
27.562500	0.974291 
27.687500	2.856307 
27.812500	4.043117 
27.937500	3.634965 
28.062500	1.966211 
28.187500	0.340561 
28.312500	-0.206874 
28.437500	0.141275 
28.562500	0.324518 
28.687500	-0.327357 
28.812500	-1.278284 
28.937500	-1.348513 
29.062500	-0.086583 
29.187500	1.560548 
29.312500	2.110916 
29.437500	1.127904 
29.562500	-0.167487 
29.687500	-0.026189 
29.812500	2.003617 
29.937500	4.430097 
30.062500	5.119007 
30.187500	3.333994 
30.312500	0.489490 
30.437500	-1.171630 
30.562500	-0.683249 
30.687500	0.848875 
30.812500	1.530880 
30.937500	0.696065 
31.062500	-0.437322 
31.187500	-0.147063 
31.312500	1.815717 
31.437500	3.749965 
31.562500	3.615490 
31.687500	1.163055 
31.812500	-1.586360 
31.937500	-2.094339 
32.062500	0.336351 
32.187500	3.851694 
32.312500	5.668039 
32.437500	4.493350 
32.562500	1.512453 
32.687500	-0.865539 
32.812500	-1.189400 
32.937500	-0.022877 
33.062500	0.945385 
33.187500	0.668153 
33.312500	-0.388505 
33.437500	-0.982813 
33.562500	-0.521904 
33.687500	0.332909 
33.812500	0.441250 
33.937500	-0.525561 
34.062500	-1.619942 
34.187500	-1.454016 
34.312500	0.471596 
34.437500	3.200960 
34.562500	5.028217 
34.687500	4.829700 
34.812500	2.883860 
34.937500	0.566434 
35.062500	-0.723925 
35.187500	-0.509430 
35.312500	0.612824 
35.437500	1.578655 
35.562500	1.672954 
35.687500	0.970559 
35.812500	0.175457 
35.937500	0.050749 
36.062500	0.856301 
36.187500	2.163733 
36.312500	3.158423 
36.437500	3.211526 
36.562500	2.310814 
36.687500	1.033946 
36.812500	0.096907 
36.937500	-0.150064 
37.062500	0.123213 
37.187500	0.500086 
37.312500	0.711738 
37.437500	0.775135 
37.562500	0.803541 
37.687500	0.778335 
37.812500	0.590348 
37.937500	0.309160 
38.062500	0.311028 
38.187500	0.991533 
38.312500	2.259093 
38.437500	3.353665 
38.562500	3.325965 
38.687500	1.871394 
38.812500	-0.235922 
38.937500	-1.609595 
39.062500	-1.321117 
39.187500	0.328623 
39.312500	2.040163 
39.437500	2.582559 
39.562500	1.778680 
39.687500	0.560445 
39.812500	0.079804 
39.937500	0.691346 
40.062500	1.697480 
40.187500	2.030509 
40.312500	1.219277 
40.437500	-0.210771 
40.562500	-1.203250 
40.687500	-1.046824 
40.812500	0.086546 
40.937500	1.334091 
41.062500	1.839639 
