bin                 q                   Fx                  Icoh               
0                   0.025000            0.351215            -0.958827           1.481613           
1                   0.075000            1.053659            -0.958869           1.478501           
2                   0.125000            1.756142            -0.958926           1.473195           
3                   0.175000            2.458691            -0.958953           1.467406           
4                   0.225000            3.161333            -0.958885           1.463402           
5                   0.275000            3.864094            -0.958652           1.463686           
6                   0.325000            4.567000            -0.958183           1.470643           
7                   0.375000            5.270078            -0.957419           1.486181           
8                   0.425000            5.973354            -0.956319           1.511427           
9                   0.475000            6.676856            -0.954869           1.546505           
10                  0.525000            7.380610            -0.953087           1.590436           
11                  0.575000            8.084643            -0.951019           1.641156           
12                  0.625000            8.788982            -0.948743           1.695674           
13                  0.675000            9.493653            -0.946361           1.750328           
14                  0.725000            10.198685           -0.943988           1.801134           
15                  0.775000            10.904103           -0.941748           1.844169           
16                  0.825000            11.609937           -0.939757           1.875955           
17                  0.875000            12.316213           -0.938115           1.893800           
18                  0.925000            13.022958           -0.936898           1.896058           
19                  0.975000            13.730202           -0.936147           1.882279           
20                  1.025000            14.437972           -0.935866           1.853241           
21                  1.075000            15.146295           -0.936020           1.810853           
22                  1.125000            15.855202           -0.936540           1.757951           
23                  1.175000            16.564719           -0.937326           1.698008           
24                  1.225000            17.274877           -0.938260           1.634793           
25                  1.275000            17.985704           -0.939213           1.572009           
26                  1.325000            18.697229           -0.940060           1.512961           
27                  1.375000            19.409483           -0.940690           1.460277           
28                  1.425000            20.122494           -0.941019           1.415706           
29                  1.475000            20.836293           -0.940990           1.380025           
30                  1.525000            21.550911           -0.940589           1.353039           
31                  1.575000            22.266378           -0.939836           1.333682           
32                  1.625000            22.982726           -0.938785           1.320204           
33                  1.675000            23.699984           -0.937520           1.310405           
34                  1.725000            24.418186           -0.936143           1.301906           
35                  1.775000            25.137364           -0.934765           1.292420           
36                  1.825000            25.857549           -0.933492           1.279988           
37                  1.875000            26.578774           -0.932413           1.263174           
38                  1.925000            27.301074           -0.931596           1.241188           
39                  1.975000            28.024481           -0.931073           1.213927           
40                  2.025000            28.749029           -0.930842           1.181955           
41                  2.075000            29.474753           -0.930863           1.146402           
42                  2.125000            30.201689           -0.931066           1.108818           
43                  2.175000            30.929871           -0.931354           1.070987           
44                  2.225000            31.659335           -0.931615           1.034731           
45                  2.275000            32.390118           -0.931732           1.001720           
46                  2.325000            33.122258           -0.931596           0.973308           
47                  2.375000            33.855791           -0.931116           0.950408           
48                  2.425000            34.590756           -0.930230           0.933429           
49                  2.475000            35.327192           -0.928909           0.922249           
50                  2.525000            36.065138           -0.927165           0.916264           
51                  2.575000            36.804634           -0.925042           0.914463           
52                  2.625000            37.545722           -0.922619           0.915553           
53                  2.675000            38.288442           -0.919999           0.918097           
54                  2.725000            39.032837           -0.917299           0.920662           
55                  2.775000            39.778950           -0.914638           0.921957           
56                  2.825000            40.526825           -0.912124           0.920950           
57                  2.875000            41.276507           -0.909847           0.916949           
58                  2.925000            42.028040           -0.907864           0.909653           
59                  2.975000            42.781471           -0.906196           0.899155           
60                  3.025000            43.536848           -0.904827           0.885907           
61                  3.075000            44.294218           -0.903703           0.870659           
62                  3.125000            45.053632           -0.902740           0.854365           
63                  3.175000            45.815138           -0.901826           0.838079           
64                  3.225000            46.578790           -0.900842           0.822846           
65                  3.275000            47.344638           -0.899664           0.809604           
66                  3.325000            48.112736           -0.898180           0.799096           
67                  3.375000            48.883140           -0.896302           0.791814           
68                  3.425000            49.655905           -0.893969           0.787963           
69                  3.475000            50.431089           -0.891158           0.787464           
70                  3.525000            51.208750           -0.887882           0.789980           
71                  3.575000            51.988949           -0.884189           0.794963           
72                  3.625000            52.771746           -0.880154           0.801729           
73                  3.675000            53.557205           -0.875873           0.809533           
74                  3.725000            54.345391           -0.871447           0.817651           
75                  3.775000            55.136370           -0.866976           0.825456           
76                  3.825000            55.930209           -0.862543           0.832480           
77                  3.875000            56.726979           -0.858203           0.838457           
78                  3.925000            57.526752           -0.853978           0.843341           
79                  3.975000            58.329600           -0.849852           0.847310           
80                  4.025000            59.135600           -0.845772           0.850738           
81                  4.075000            59.944829           -0.841648           0.854152           
82                  4.125000            60.757368           -0.837365           0.858177           
83                  4.175000            61.573298           -0.832789           0.863472           
84                  4.225000            62.392704           -0.827783           0.870665           
85                  4.275000            63.215674           -0.822219           0.880292           
86                  4.325000            64.042297           -0.815985           0.892750           
87                  4.375000            64.872667           -0.809003           0.908263           
88                  4.425000            65.706878           -0.801229           0.926868           
89                  4.475000            66.545029           -0.792658           0.948419           
90                  4.525000            67.387223           -0.783326           0.972610           
91                  4.575000            68.233565           -0.773299           0.999015           
92                  4.625000            69.084162           -0.762667           1.027137           
93                  4.675000            69.939129           -0.751533           1.056467           
94                  4.725000            70.798580           -0.739998           1.086539           
95                  4.775000            71.662637           -0.728145           1.116986           
96                  4.825000            72.531425           -0.716031           1.147579           
97                  4.875000            73.405072           -0.703672           1.178262           
98                  4.925000            74.283712           -0.691040           1.209161           
99                  4.975000            75.167486           -0.678055           1.240587           
100                 5.025000            76.056537           -0.664594           1.273007           
101                 5.075000            76.951016           -0.650488           1.307020           
102                 5.125000            77.851079           -0.635539           1.343307           
103                 5.175000            78.756888           -0.619529           1.382585           
104                 5.225000            79.668613           -0.602231           1.425554           
