Nall = 2000                
rho = 0.91033
type                C_C                 
ca                  1.00000             
cb                  1.00000             
0.03250             0.00000             
0.09750             0.00000             
0.16250             0.00000             
0.22750             0.00000             
0.29250             0.00000             
0.35750             0.00000             
0.42250             0.00000             
0.48750             0.00000             
0.55250             0.00000             
0.61750             0.00000             
0.68250             0.00000             
0.74750             0.00000             
0.81250             0.02728             
0.87750             0.47537             
0.94250             1.52607             
1.00750             2.15064             
1.07250             1.94738             
1.13750             1.57413             
1.20250             1.23741             
1.26750             1.02222             
1.33250             0.87685             
1.39750             0.79107             
1.46250             0.75621             
1.52750             0.75046             
1.59250             0.78038             
1.65750             0.83340             
1.72250             0.91269             
1.78750             1.00501             
1.85250             1.09451             
1.91750             1.13652             
1.98250             1.14225             
2.04750             1.12321             
2.11250             1.07278             
2.17750             1.03321             
2.24250             0.99301             
2.30750             0.96594             
2.37250             0.92992             
2.43750             0.93594             
2.50250             0.94454             
2.56750             0.94952             
2.63250             0.97552             
2.69750             0.99703             
2.76250             1.02905             
2.82750             1.03136             
2.89250             1.03703             
2.95750             1.02985             
3.02250             1.01857             
3.08750             1.01757             
3.15250             1.00167             
3.21750             0.99729             
3.28250             0.97762             
3.34750             0.98023             
3.41250             0.98213             
3.47750             0.98921             
3.54250             0.98775             
3.60750             0.99929             
3.67250             0.99981             
3.73750             1.00918             
3.80250             1.01433             
3.86750             1.01042             
3.93250             1.00612             
3.99750             1.00666             
4.06250             1.00259             
4.12750             0.99647             
4.19250             0.99541             
4.25750             0.99464             
4.32250             0.99344             
4.38750             0.99407             
4.45250             0.99887             
4.51750             0.99763             
4.58250             0.99785             
4.64750             1.00688             
4.71250             1.00413             
4.77750             1.00081             
4.84250             1.00247             
4.90750             1.00419             
4.97250             1.00143             
5.03750             0.99999             
5.10250             0.99828             
5.16750             0.99521             
5.23250             0.99663             
5.29750             0.99684             
5.36250             1.00359             
5.42750             0.99880             
5.49250             0.99826             
5.55750             1.00063             
5.62250             1.00283             
5.68750             1.00492             
5.75250             0.99925             
5.81750             0.99945             
5.88250             0.99871             
5.94750             1.00257             
6.01250             0.99961             
6.07750             0.99527             
6.14250             0.99926             
6.20750             0.99965             
6.27250             0.99924             
6.33750             0.99807             
6.40250             1.00166             
6.46750             1.00343             
