Nall = 2000                
rho = 0.91033
type                C_C                 
ca                  1.00000             
cb                  1.00000             
0.03250             0.00000             
0.09750             0.00000             
0.16250             0.00000             
0.22750             0.00000             
0.29250             0.00000             
0.35750             0.00000             
0.42250             0.00000             
0.48750             0.00000             
0.55250             0.00000             
0.61750             0.00000             
0.68250             0.00000             
0.74750             0.00000             
0.81250             0.02728             
0.87750             0.47537             
0.94250             1.52607             
1.00750             2.15064             
1.07250             1.94738             
1.13750             1.57402             
1.20250             1.23750             
1.26750             1.02222             
1.33250             0.87685             
1.39750             0.79107             
1.46250             0.75621             
1.52750             0.75046             
1.59250             0.78038             
1.65750             0.83340             
1.72250             0.91264             
1.78750             1.00505             
1.85250             1.09451             
1.91750             1.13655             
1.98250             1.14222             
2.04750             1.12324             
2.11250             1.07275             
2.17750             1.03321             
2.24250             0.99301             
2.30750             0.96594             
2.37250             0.92992             
2.43750             0.93594             
2.50250             0.94454             
2.56750             0.94952             
2.63250             0.97552             
2.69750             0.99703             
2.76250             1.02906             
2.82750             1.03135             
2.89250             1.03703             
2.95750             1.02985             
3.02250             1.01858             
3.08750             1.01757             
3.15250             1.00167             
3.21750             0.99728             
3.28250             0.97762             
3.34750             0.98023             
3.41250             0.98213             
3.47750             0.98921             
3.54250             0.98775             
3.60750             0.99929             
3.67250             0.99980             
3.73750             1.00920             
3.80250             1.01433             
3.86750             1.01041             
3.93250             1.00611             
3.99750             1.00666             
4.06250             1.00260             
4.12750             0.99648             
4.19250             0.99539             
4.25750             0.99464             
4.32250             0.99344             
4.38750             0.99406             
4.45250             0.99890             
4.51750             0.99763             
4.58250             0.99784             
4.64750             1.00687             
4.71250             1.00414             
4.77750             1.00079             
4.84250             1.00247             
4.90750             1.00420             
4.97250             1.00142             
5.03750             1.00000             
5.10250             0.99827             
5.16750             0.99522             
5.23250             0.99662             
5.29750             0.99686             
5.36250             1.00358             
5.42750             0.99879             
5.49250             0.99827             
5.55750             1.00064             
5.62250             1.00283             
5.68750             1.00491             
5.75250             0.99925             
5.81750             0.99945             
5.88250             0.99871             
5.94750             1.00257             
6.01250             0.99963             
6.07750             0.99526             
6.14250             0.99926             
6.20750             0.99964             
6.27250             0.99925             
6.33750             0.99806             
6.40250             1.00166             
6.46750             1.00342             
