r	g(r)
0.032500	0.000000
0.097500	0.000000
0.162500	0.000000
0.227500	0.000000
0.292500	0.000000
0.357500	0.000000
0.422500	0.000000
0.487500	0.000000
0.552500	0.000000
0.617500	0.000000
0.682500	0.000000
0.747500	0.000000
0.812500	0.027284
0.877500	0.475370
0.942500	1.526828
1.007500	2.150380
1.072500	1.946794
1.137500	1.574335
1.202500	1.237503
1.267500	1.022218
1.332500	0.876475
1.397500	0.791414
1.462500	0.756211
1.527500	0.750228
1.592500	0.780487
1.657500	0.833349
1.722500	0.913052
1.787500	1.004717
1.852500	1.094623
1.917500	1.136443
1.982500	1.142186
2.047500	1.123237
2.112500	1.072902
2.177500	1.033065
2.242500	0.992982
2.307500	0.966118
2.372500	0.929820
2.437500	0.936008
2.502500	0.944472
2.567500	0.949401
2.632500	0.975577
2.697500	0.997067
2.762500	1.029030
2.827500	1.031314
2.892500	1.037210
2.957500	1.029744
3.022500	1.018567
3.087500	1.017679
3.152500	1.001546
3.217500	0.997331
3.282500	0.977558
3.347500	0.980288
3.412500	0.982114
3.477500	0.989259
3.542500	0.987668
3.607500	0.999437
3.672500	0.999630
3.737500	1.009237
3.802500	1.014288
3.867500	1.010467
3.932500	1.006133
3.997500	1.006627
4.062500	1.002623
4.127500	0.996460
4.192500	0.995381
4.257500	0.994697
4.322500	0.993373
4.387500	0.994164
4.452500	0.998860
4.517500	0.997566
4.582500	0.997889
4.647500	1.006894
4.712500	1.004090
4.777500	1.000835
4.842500	1.002415
4.907500	1.004231
4.972500	1.001439
5.037500	1.000018
5.102500	0.998205
5.167500	0.995265
5.232500	0.996607
5.297500	0.996799
5.362500	1.003600
5.427500	0.998876
5.492500	0.998234
5.557500	1.000619
5.622500	1.002823
5.687500	1.004944
5.752500	0.999179
5.817500	0.999531
5.882500	0.998706
5.947500	1.002515
6.012500	0.999627
6.077500	0.995243
6.142500	0.999335
6.207500	0.999603
6.272500	0.999222
6.337500	0.998111
6.402500	1.001717
6.467500	1.003292
